Name:  Calcite CaCO3
Type:  Mineral
Class:  Carbonates
Subclass:   
Particle Size: Coarse  (74-250 Micrometers)
Sample No.:  calcite.1
Owner:  JHU
Wavelength Range:  IR
Origin: Hunt and Salisbury Collection #194B (purchased from Ward's 
Natural Science Establishment); Sample from Mexico.
Description: The sample consisted of transparent euhedral crystals.  
The largest was about 2 cm x 2 cm.  This was obviously pure optical 
quality calcite.



Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  calcit1a.txt

4.890712146	11.2075
4.886102507	11.2187
4.88150155	11.2351
4.876909249	11.2497
4.87232558	11.2724
4.86775052	11.2839
4.863184043	11.2868
4.858626126	11.3005
4.854076745	11.3169
4.849535875	11.331
4.845003493	11.3459
4.840479575	11.3613
4.835964098	11.3728
4.831457037	11.3867
4.826958369	11.4023
4.822468072	11.4074
4.81798612	11.4199
4.813512492	11.4201
4.809047164	11.4248
4.804590113	11.4221
4.800141316	11.4189
4.79570075	11.4289
4.791268392	11.4231
4.78684422	11.4028
4.782430498	11.384
4.778022625	11.354
4.773622869	11.2912
4.769231209	11.2011
4.764847623	11.091
4.760472086	10.9682
4.756104579	10.8525
4.751745078	10.7483
4.747393562	10.6277
4.743050009	10.478
4.738714396	10.3152
4.734386703	10.1352
4.730066907	9.8999
4.725754987	9.5549
4.721450921	9.0591
4.717154688	8.4372
4.712866266	7.7886
4.708585635	7.1843
4.704312773	6.654
4.700047658	6.216
4.695790271	5.8913
4.691540589	5.6487
4.687298593	5.4534
4.68306426	5.3174
4.67883976	5.2341
4.67462069	5.1789
4.670409221	5.1736
4.666205334	5.2024
4.662009009	5.2607
4.657820224	5.3857
4.65363896	5.6101
4.649465195	5.9228
4.645298911	6.2756
4.641140087	6.6626
4.636988702	7.0867
4.632844738	7.4824
4.628708174	7.8042
4.62457899	8.0764
4.620457167	8.3337
4.616342684	8.5639
4.612235523	8.7234
4.608135664	8.8078
4.604043086	8.8506
4.599957772	8.8904
4.595879702	8.9673
4.591808856	9.021
4.587745215	9.0398
4.58368876	9.0764
4.57964157	9.1062
4.575599426	9.1115
4.571564412	9.1194
4.567536508	9.1316
4.563515696	9.1362
4.559501956	9.1452
4.555495271	9.1555
4.551495621	9.1523
4.547502989	9.1562
4.543517355	9.1562
4.539538701	9.1521
4.535567009	9.1555
4.531602261	9.166
4.527644439	9.1672
4.523693523	9.1628
4.519749497	9.1745
4.515814382	9.1953
4.511884077	9.2102
4.507960608	9.2312
4.504043956	9.2668
4.500134104	9.3188
4.496231034	9.3955
4.492334729	9.4951
4.488445171	9.612
4.484562343	9.7409
4.480686226	9.8733
4.476816804	10.0095
4.47295406	10.1433
4.469097975	10.2624
4.465248534	10.3696
4.461405718	10.4594
4.45756951	10.5241
4.453739894	10.5996
4.449916853	10.6889
4.44610037	10.7859
4.442290427	10.9084
4.438487009	11.0361
4.434690097	11.1321
4.430899676	11.2146
4.42711573	11.2824
4.423340197	11.342
4.419569145	11.3896
4.415804518	11.4424
4.412046298	11.4968
4.408294471	11.5456
4.404549018	11.584
4.400809925	11.6152
4.397077175	11.6506
4.393350752	11.6889
4.389630639	11.7402
4.385916821	11.7883
4.382209282	11.8142
4.378508006	11.8178
4.374812977	11.7883
4.371124179	11.7412
4.367441596	11.6762
4.363765214	11.5754
4.360095015	11.4453
4.356430985	11.31
4.352773108	11.1906
4.349121369	11.1162
4.345475751	11.083
4.341836241	11.0637
4.338202821	11.0334
4.334577357	11.0071
4.330956072	11.0027
4.327340832	11.0075
4.323731623	11.0014
4.320128429	10.9821
4.316531235	10.959
4.312940028	10.9521
4.30935479	10.9702
4.305775509	11.0178
4.302202168	11.0925
4.298634754	11.1509
4.29507325	11.1784
4.291517644	11.1865
4.287967919	11.1936
4.284424062	11.2009
4.280886058	11.2087
4.277353892	11.1967
4.27382755	11.1709
4.270307018	11.144
4.266792281	11.0974
4.263283325	11.0498
4.259780136	11.0088
4.256282699	10.9804
4.252791	10.9497
4.249306832	10.9216
4.245826565	10.9026
4.242351994	10.8755
4.238883105	10.8352
4.235419885	10.7954
4.231962319	10.7431
4.228510393	10.6897
4.225064094	10.6555
4.221623408	10.6289
4.218188322	10.6003
4.214758821	10.5652
4.211334892	10.5259
4.207916522	10.4875
4.204503696	10.4409
4.201096402	10.3857
4.197694626	10.3227
4.194300114	10.2541
4.190909331	10.1953
4.187524026	10.1372
4.184144186	10.062
4.180769797	9.9848
4.177400846	9.9226
4.174037321	9.8613
4.170679208	9.7951
4.167326493	9.7097
4.163979165	9.6357
4.16063721	9.5517
4.157300615	9.4526
4.153969367	9.3606
4.150643454	9.2578
4.147322862	9.1421
4.144007579	9.0261
4.140697592	8.8969
4.137392888	8.7571
4.134093455	8.6216
4.130799281	8.477
4.127510352	8.323
4.124226656	8.1794
4.120948181	8.032
4.117674914	7.874
4.114408535	7.7178
4.111145645	7.574
4.107887925	7.4397
4.104635365	7.3013
4.101387951	7.1687
4.098145671	7.0359
4.094908514	6.8987
4.091676466	6.7644
4.088449517	6.6272
4.085227653	6.4709
4.082010864	6.3103
4.078799136	6.1443
4.075592459	5.9609
4.072390819	5.7749
4.069194206	5.5891
4.066002607	5.4145
4.062816011	5.2466
4.059634406	5.0674
4.056457779	4.8689
4.053286121	4.6228
4.050119418	4.3296
4.046957659	4.0134
4.043800833	3.6855
4.040648928	3.3669
4.037503563	3.095
4.034361463	2.8911
4.031224251	2.7329
4.028091913	2.6001
4.024964439	2.4792
4.021841819	2.3772
4.018724039	2.2834
4.01561109	2.1714
4.012502959	2.0478
4.009399637	1.9285
4.00630111	1.8225
4.00320737	1.7539
4.000118404	1.7168
3.997034201	1.6816
3.99395475	1.6504
3.990880041	1.6277
3.987810062	1.6013
3.984744803	1.5854
3.981684252	1.5762
3.9786284	1.5625
3.975577234	1.5605
