Name: Aplite
Type: Rocks
Class: Igneous
Subclass: Felsic
Particle Size: 0-75 micrometers
Sample No.: Aplite.H1
Owner: JHU
Wavelength range: All
Origin: From Boulder County, Colorado via Ward's Scientific (Cat. No. W-
101)
Description: Powder derived from sample: fine-grained to medium-grained 
leucocratic rock composed of quartz, feldspar, micas and opaques.




Measurement: Directional (10 degree) hemispherical reflectance
First Column: X
Second Column: Y
X Units: Wavelength (micrometers)
Y Units: Reflectance (percent)
First X Value: 14.0112
Last X Value: 0.4000
Number of X Values: 2844
Additional information:	see file aplite1a.doc
4.1540	61.153
4.1506	61.236
4.1473	61.331
4.1440	61.377
4.1407	61.425
4.1374	61.498
4.1341	61.585
4.1308	61.682
4.1275	61.767
4.1242	61.810
4.1209	61.924
4.1177	62.016
4.1144	62.091
4.1111	62.147
4.1079	62.234
4.1046	62.293
4.1014	62.356
4.0981	62.417
4.0949	62.504
4.0917	62.578
4.0884	62.683
4.0852	62.778
4.0820	62.790
4.0788	62.811
4.0756	62.851
4.0724	62.841
4.0692	62.891
4.0660	62.937
4.0628	62.964
4.0596	62.988
4.0565	62.947
4.0533	62.905
4.0501	62.904
4.0470	62.867
4.0438	62.790
4.0406	62.687
4.0375	62.607
4.0344	62.523
4.0312	62.445
4.0281	62.351
4.0250	62.249
4.0218	62.166
4.0187	62.051
4.0156	61.921
4.0125	61.832
4.0094	61.700
4.0063	61.522
4.0032	61.352
4.0001	61.182
3.9970	61.011
3.9940	60.838
3.9909	60.719
3.9878	60.644
3.9847	60.556
3.9817	60.515
3.9786	60.504
3.9756	60.557
3.9725	60.667
3.9695	60.757
3.9665	60.875
3.9634	61.029
3.9604	61.174
3.9574	61.326
3.9544	61.524
3.9513	61.759
3.9483	61.970
3.9453	62.170
3.9423	62.391
3.9393	62.628
3.9363	62.791
3.9333	62.847
3.9304	62.869
3.9274	62.961
3.9244	63.025
3.9214	63.053
3.9185	63.115
3.9155	63.179
3.9126	63.182
3.9096	63.196
3.9067	63.189
3.9037	63.206
3.9008	63.207
3.8979	63.236
3.8949	63.238
3.8920	63.223
3.8891	63.196
3.8862	63.171
3.8833	63.187
3.8804	63.176
3.8775	63.165
3.8746	63.140
3.8717	63.116
3.8688	63.109
3.8659	63.095
3.8630	63.138
3.8601	63.169
3.8573	63.166
3.8544	63.171
3.8515	63.198
3.8487	63.216
3.8458	63.230
3.8430	63.296
3.8401	63.338
3.8373	63.434
3.8344	63.513
3.8316	63.563
3.8288	63.641
3.8259	63.728
3.8231	63.849
3.8203	63.938
3.8175	64.006
3.8147	64.086
3.8119	64.158
3.8091	64.204
3.8063	64.275
3.8035	64.335
3.8007	64.384
3.7979	64.455
3.7951	64.492
3.7924	64.507
3.7896	64.551
3.7868	64.576
3.7841	64.588
3.7813	64.576
3.7785	64.540
3.7758	64.499
3.7730	64.498
3.7703	64.495
3.7676	64.473
3.7648	64.415
3.7621	64.378
3.7594	64.381
3.7566	64.367
3.7539	64.313
3.7512	64.282
3.7485	64.288
3.7458	64.287
3.7431	64.263
3.7404	64.253
3.7377	64.235
3.7350	64.239
3.7323	64.247
3.7296	64.290
3.7269	64.311
3.7242	64.269
3.7216	64.279
3.7189	64.369
3.7162	64.409
3.7136	64.403
3.7109	64.442
3.7083	64.466
3.7056	64.500
3.7030	64.519
3.7003	64.566
3.6977	64.615
3.6950	64.662
3.6924	64.696
3.6898	64.725
3.6872	64.736
3.6845	64.716
3.6819	64.720
3.6793	64.777
3.6767	64.854
3.6741	64.865
3.6715	64.855
3.6689	64.860
3.6663	64.895
3.6637	64.887
3.6611	64.879
3.6585	64.896
3.6560	64.916
3.6534	64.897
3.6508	64.873
3.6482	64.874
3.6457	64.890
3.6431	64.845
3.6406	64.837
3.6380	64.805
3.6355	64.749
3.6329	64.723
3.6304	64.775
3.6278	64.759
3.6253	64.690
3.6227	64.640
3.6202	64.626
3.6177	64.605
3.6152	64.606
3.6127	64.573
3.6101	64.506
3.6076	64.491
3.6051	64.468
3.6026	64.420
3.6001	64.398
3.5976	64.386
3.5951	64.355
3.5926	64.326
3.5901	64.303
3.5876	64.262
3.5852	64.218
3.5827	64.189
3.5802	64.131
3.5777	64.087
3.5753	64.056
3.5728	63.998
3.5704	63.969
3.5679	63.947
3.5654	63.899
3.5630	63.897
3.5605	63.882
3.5581	63.821
3.5557	63.784
3.5532	63.738
3.5508	63.704
3.5484	63.653
3.5459	63.555
3.5435	63.515
3.5411	63.463
3.5387	63.362
3.5363	63.250
3.5338	63.152
3.5314	63.053
3.5290	62.938
3.5266	62.811
3.5242	62.662
3.5218	62.460
3.5195	62.255
3.5171	62.090
3.5147	61.918
3.5123	61.724
3.5099	61.482
3.5075	61.307
3.5052	61.132
3.5028	60.969
3.5004	60.853
3.4981	60.794
3.4957	60.771
3.4934	60.780
3.4910	60.776
3.4887	60.755
3.4863	60.688
3.4840	60.593
3.4816	60.540
3.4793	60.507
3.4770	60.472
3.4746	60.483
3.4723	60.515
3.4700	60.569
3.4677	60.691
3.4653	60.772
3.4630	60.749
3.4607	60.785
3.4584	60.817
3.4561	60.817
3.4538	60.749
3.4515	60.692
3.4492	60.629
3.4469	60.539
3.4446	60.429
3.4423	60.392
3.4400	60.304
3.4378	60.181
3.4355	60.072
3.4332	59.969
3.4309	59.813
3.4287	59.652
3.4264	59.461
3.4241	59.229
3.4219	59.031
3.4196	58.896
3.4174	58.774
3.4151	58.730
3.4129	58.672
3.4106	58.668
3.4084	58.693
3.4061	58.710
3.4039	58.766
3.4017	58.822
3.3994	58.846
3.3972	58.866
3.3950	58.868
3.3928	58.899
3.3906	58.854
3.3883	58.796
3.3861	58.754
3.3839	58.712
3.3817	58.612
3.3795	58.515
3.3773	58.495
3.3751	58.461
3.3729	58.401
3.3707	58.369
3.3685	58.365
3.3663	58.341
3.3641	58.308
3.3620	58.285
3.3598	58.208
3.3576	58.140
3.3554	58.129
3.3533	58.078
3.3511	58.057
3.3489	58.068
3.3468	58.026
3.3446	58.057
3.3425	58.139
3.3403	58.232
3.3382	58.286
3.3360	58.336
3.3339	58.379
3.3317	58.312
3.3296	58.237
3.3274	58.232
3.3253	58.208
3.3232	58.164
3.3210	58.112
3.3189	58.050
3.3168	57.951
3.3147	57.885
3.3126	57.853
3.3104	57.798
3.3083	57.719
3.3062	57.661
3.3041	57.583
3.3020	57.519
3.2999	57.476
3.2978	57.413
3.2957	57.315
3.2936	57.227
