Name:  Very dark grayish brown silty loam
Type:  Soils
Class:  Inceptisol
Subclass:  Plaggept
Particle Size:  see additional information
Sample No.:  85P3707
Owner:  JHU
Wavelength range:  All
Origin:  Reelfoot Indian mound.  Obion Co., Tn. via USDA Soil 
Conservation service
Description:  Very dark grayish brown silty loam.





Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  85P3707a.txt

5.0380	12.5859
5.0332	12.5901
5.0283	12.5561
5.0234	12.5341
5.0185	12.5239
5.0137	12.5278
5.0088	12.5605
5.0040	12.6277
4.9992	12.7302
4.9944	12.8486
4.9896	13.0168
4.9848	13.2453
4.9800	13.5146
4.9752	13.8725
4.9704	14.3017
4.9657	14.7548
4.9609	15.1701
4.9562	15.5354
4.9514	15.8569
4.9467	16.1027
4.9420	16.2793
4.9373	16.4240
4.9326	16.5957
4.9279	16.8252
4.9232	17.0961
4.9186	17.4497
4.9139	17.9216
4.9092	18.4597
4.9046	19.0629
4.9000	19.6770
4.8953	20.2976
4.8907	20.8850
4.8861	21.4162
4.8815	21.8955
4.8769	22.2939
4.8723	22.6166
4.8678	22.9108
4.8632	23.1911
4.8586	23.4318
4.8541	23.6411
4.8495	23.8163
4.8450	23.9833
4.8405	24.1381
4.8360	24.2700
4.8315	24.3918
4.8270	24.5226
4.8225	24.6071
4.8180	24.7243
4.8135	24.8210
4.8090	24.8627
4.8046	24.9203
4.8001	25.0126
4.7957	25.1174
4.7913	25.1845
4.7868	25.2206
4.7824	25.2731
4.7780	25.3246
4.7736	25.3906
4.7692	25.4399
4.7648	25.5034
4.7605	25.5805
4.7561	25.6642
4.7517	25.7201
4.7474	25.7783
4.7431	25.8432
4.7387	25.8598
4.7344	25.8815
4.7301	25.9379
4.7258	25.9662
4.7215	25.9743
4.7172	25.9799
4.7129	25.9743
4.7086	25.9360
4.7043	25.8652
4.7000	25.7853
4.6958	25.6840
4.6915	25.5976
4.6873	25.5151
4.6831	25.4933
4.6788	25.5483
4.6746	25.6244
4.6704	25.7419
4.6662	25.8796
4.6620	26.0065
4.6578	26.1071
4.6536	26.2294
4.6495	26.3578
4.6453	26.4784
4.6411	26.6015
4.6370	26.7167
4.6328	26.8410
4.6287	26.9365
4.6246	26.9990
4.6205	27.0778
4.6163	27.1557
4.6122	27.2448
4.6081	27.3205
4.6040	27.3781
4.6000	27.4474
4.5959	27.5239
4.5918	27.5768
4.5877	27.6169
4.5837	27.6557
4.5796	27.6847
4.5756	27.7053
4.5716	27.7470
4.5675	27.7978
4.5635	27.8251
4.5595	27.8478
4.5555	27.8351
4.5515	27.8212
4.5475	27.8154
4.5435	27.7909
4.5395	27.7421
4.5356	27.6935
4.5316	27.6335
4.5276	27.5566
4.5237	27.4811
4.5197	27.3552
4.5158	27.2333
4.5119	27.1225
4.5080	26.9950
4.5040	26.8700
4.5001	26.7533
4.4962	26.6586
4.4923	26.6117
4.4884	26.5817
4.4846	26.5409
4.4807	26.4980
4.4768	26.4692
4.4730	26.4479
4.4691	26.4692
4.4652	26.5082
4.4614	26.5512
4.4576	26.6576
4.4537	26.7873
4.4499	26.9394
4.4461	27.0759
4.4423	27.1379
4.4385	27.2074
4.4347	27.3061
4.4309	27.3532
4.4271	27.3954
4.4233	27.4987
4.4196	27.6042
4.4158	27.6779
4.4120	27.8000
4.4083	27.9133
4.4045	27.9880
4.4008	28.0834
4.3971	28.2079
4.3934	28.3322
4.3896	28.4379
4.3859	28.5070
4.3822	28.6235
4.3785	28.7858
4.3748	28.8771
4.3711	28.9531
4.3674	29.0590
4.3638	29.1513
4.3601	29.2673
4.3564	29.3495
4.3528	29.3981
4.3491	29.4592
4.3455	29.5339
4.3418	29.6022
4.3382	29.6386
4.3346	29.6513
4.3310	29.6813
4.3273	29.7314
4.3237	29.7807
4.3201	29.7900
4.3165	29.7670
4.3129	29.7389
4.3094	29.7472
4.3058	29.7648
4.3022	29.7826
4.2986	29.7702
4.2951	29.7680
4.2915	29.7428
4.2880	29.7189
4.2844	29.7096
4.2809	29.6669
4.2774	29.6208
4.2738	29.6430
4.2703	29.6928
4.2668	29.7428
4.2633	29.8227
4.2598	29.8864
4.2563	29.9716
4.2528	30.0507
4.2493	30.0675
4.2458	30.0866
4.2424	30.0815
4.2389	30.0583
4.2354	30.0654
4.2320	30.0888
4.2285	30.1513
4.2251	30.1894
4.2216	30.1872
4.2182	30.2424
4.2148	30.2851
4.2113	30.2807
4.2079	30.2968
4.2045	30.3180
4.2011	30.3168
4.1977	30.3073
4.1943	30.3127
4.1909	30.3927
4.1875	30.4225
4.1841	30.3776
4.1808	30.3649
4.1774	30.4172
4.1740	30.4687
4.1707	30.4845
4.1673	30.4823
4.1640	30.4931
4.1606	30.5221
4.1573	30.5458
4.1540	30.5446
4.1506	30.5468
4.1473	30.5446
4.1440	30.5544
4.1407	30.5607
4.1374	30.5524
4.1341	30.5490
4.1308	30.5737
4.1275	30.5575
4.1242	30.5585
4.1209	30.5885
4.1177	30.5778
4.1144	30.5671
4.1111	30.5575
4.1079	30.5585
4.1046	30.5563
4.1014	30.5553
4.0981	30.5619
4.0949	30.5597
4.0917	30.5329
4.0884	30.5575
4.0852	30.5822
4.0820	30.5253
4.0788	30.5019
4.0756	30.5082
4.0724	30.5092
4.0692	30.4985
4.0660	30.4716
4.0628	30.4513
4.0596	30.4225
