Name:  Grayish brown loam
Type:  Soils
Class:  Mollisol
Subclass:  Haplustall
Particle Size:  see additional information
Sample No.:  85P4569
Owner:  JHU
Wavelength range:  All
Origin:  Cheyenne Co., Nb. via USDA Soil Conservation service.

Description:  Parent material is residuum from mixed-calcareous material.  
Grayish brown loam (loamy-skeletal, mixed, mesic lithic).  
Physiography: upland slope in level or undulating uplands.



Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  85P4569a.txt

3.6202	14.3606
3.6177	14.2956
3.6152	14.2271
3.6127	14.1535
3.6101	14.0743
3.6076	13.9931
3.6051	13.9126
3.6026	13.8304
3.6001	13.7454
3.5976	13.6629
3.5951	13.5852
3.5926	13.5079
3.5901	13.4264
3.5876	13.3401
3.5852	13.2483
3.5827	13.1490
3.5802	13.0439
3.5777	12.9415
3.5753	12.8470
3.5728	12.7589
3.5704	12.6743
3.5679	12.5881
3.5654	12.4959
3.5630	12.3980
3.5605	12.2964
3.5581	12.1955
3.5557	12.0987
3.5532	12.0053
3.5508	11.9126
3.5484	11.8139
3.5459	11.7047
3.5435	11.5852
3.5411	11.4583
3.5387	11.3253
3.5363	11.1852
3.5338	11.0357
3.5314	10.8744
3.5290	10.6980
3.5266	10.5046
3.5242	10.2921
3.5218	10.0597
3.5195	9.8055
3.5171	9.5311
3.5147	9.2451
3.5123	8.9649
3.5099	8.7149
3.5075	8.5193
3.5052	8.3904
3.5028	8.3243
3.5004	8.3042
3.4981	8.3048
3.4957	8.3032
3.4934	8.2818
3.4910	8.2324
3.4887	8.1605
3.4863	8.0752
3.4840	7.9850
3.4816	7.9007
3.4793	7.8312
3.4770	7.7840
3.4746	7.7621
3.4723	7.7637
3.4700	7.7853
3.4677	7.8181
3.4653	7.8489
3.4630	7.8642
3.4607	7.8545
3.4584	7.8191
3.4561	7.7649
3.4538	7.7004
3.4515	7.6328
3.4492	7.5668
3.4469	7.4995
3.4446	7.4252
3.4423	7.3401
3.4400	7.2444
3.4378	7.1409
3.4355	7.0285
3.4332	6.9071
3.4309	6.7790
3.4287	6.6481
3.4264	6.5244
3.4241	6.4189
3.4219	6.3399
3.4196	6.2903
3.4174	6.2652
3.4151	6.2572
3.4129	6.2578
3.4106	6.2613
3.4084	6.2702
3.4061	6.2873
3.4039	6.3122
3.4017	6.3419
3.3994	6.3735
3.3972	6.4035
3.3950	6.4244
3.3928	6.4309
3.3906	6.4259
3.3883	6.4123
3.3861	6.3927
3.3839	6.3705
3.3817	6.3535
3.3795	6.3435
3.3773	6.3375
3.3751	6.3357
3.3729	6.3374
3.3707	6.3398
3.3685	6.3413
3.3663	6.3397
3.3641	6.3337
3.3620	6.3230
3.3598	6.3102
3.3576	6.3013
3.3554	6.2999
3.3533	6.3070
3.3511	6.3233
3.3489	6.3463
3.3468	6.3729
3.3446	6.4055
3.3425	6.4426
3.3403	6.4806
3.3382	6.5146
3.3360	6.5378
3.3339	6.5472
3.3317	6.5428
3.3296	6.5282
3.3274	6.5096
3.3253	6.4885
3.3232	6.4635
3.3210	6.4339
3.3189	6.3990
3.3168	6.3597
3.3147	6.3212
3.3126	6.2864
3.3104	6.2557
3.3083	6.2246
3.3062	6.1863
3.3041	6.1388
3.3020	6.0829
3.2999	6.0223
3.2978	5.9668
3.2957	5.9211
3.2936	5.8846
3.2915	5.8491
3.2894	5.8074
3.2874	5.7579
3.2853	5.6986
