Name:  Black loam
Type:  Soils
Class:  Mollisol
Subclass:  Cryoboroll
Particle Size:  see additional information
Sample No.:  85P4663
Owner:  JHU
Wavelength range:  All
Origin:  Gunnison Co., Co. via USDA Soil Conservation service.

Description: Parent material is local colluvium from igneous andesitic 
material.  Black loam, (fine-loamy, mixed pachic).  
Physiography: hillside or mountainside in mountains or deeply dissected plateaus.



Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  85P4663a.txt
	
4.3058	15.4200
4.3022	15.4122
4.2986	15.4122
4.2951	15.4157
4.2915	15.4165
4.2880	15.4093
4.2844	15.4251
4.2809	15.4444
4.2774	15.4327
4.2738	15.4332
4.2703	15.4576
4.2668	15.4701
4.2633	15.4646
4.2598	15.4624
4.2563	15.4870
4.2528	15.5097
4.2493	15.5186
4.2458	15.5119
4.2424	15.5179
4.2389	15.5388
4.2354	15.5164
4.2320	15.4983
4.2285	15.5164
4.2251	15.5366
4.2216	15.5567
4.2182	15.5672
4.2148	15.5655
4.2113	15.5804
4.2079	15.5994
4.2045	15.6071
4.2011	15.6016
4.1977	15.5835
4.1943	15.5787
4.1909	15.5897
4.1875	15.5775
4.1841	15.5737
4.1808	15.5864
4.1774	15.5797
4.1740	15.5595
4.1707	15.5514
4.1673	15.5399
4.1640	15.5251
4.1606	15.5337
4.1573	15.5344
4.1540	15.5311
4.1506	15.5217
4.1473	15.5022
4.1440	15.4798
4.1407	15.4593
4.1374	15.4431
4.1341	15.4397
4.1308	15.4179
4.1275	15.4093
4.1242	15.3963
4.1209	15.3703
4.1177	15.3689
4.1144	15.3422
4.1111	15.3031
4.1079	15.3068
4.1046	15.2940
4.1014	15.2600
4.0981	15.2435
4.0949	15.2340
4.0917	15.2166
4.0884	15.1820
4.0852	15.1351
4.0820	15.1191
4.0788	15.1090
4.0756	15.0990
4.0724	15.0980
4.0692	15.0858
4.0660	15.0731
4.0628	15.0449
4.0596	15.0142
4.0565	14.9918
4.0533	14.9602
4.0501	14.9339
4.0470	14.9071
4.0438	14.8748
4.0406	14.8569
4.0375	14.8695
4.0344	14.8422
4.0312	14.7877
4.0281	14.7710
4.0250	14.7555
4.0218	14.7437
4.0187	14.7202
4.0156	14.6765
4.0125	14.6755
4.0094	14.6676
4.0063	14.6341
4.0032	14.6147
4.0001	14.6075
3.9970	14.5681
3.9940	14.5214
3.9909	14.4975
3.9878	14.4817
3.9847	14.4635
3.9817	14.4355
3.9786	14.4151
3.9756	14.4056
3.9725	14.4066
3.9695	14.3819
3.9665	14.3501
3.9634	14.3109
3.9604	14.2776
3.9574	14.2496
3.9544	14.2299
3.9513	14.2171
3.9483	14.2032
3.9453	14.1836
3.9423	14.1656
3.9393	14.1278
3.9363	14.0883
3.9333	14.0577
3.9304	14.0499
3.9274	14.0355
3.9244	13.9922
3.9214	13.9568
3.9185	13.9323
3.9155	13.8996
3.9126	13.8814
