Name:  Hornblende Ca2(Fe+2,Mg)4Al(Si7Al)O22(OH,F)2
Type:  Mineral
Class:  Silicates
Subclass:  Inosilicates (Amphibole Group)
Particle Size:  Fine  (0-74  micrometers)
Sample No.: hornblen.1
Owner:  JHU
Wavelength Range:  IR
Origin:  Gore Mountain, New York via Hunt and Salisbury Collection, 
#177B (Purchased from Ward's Natural Science Establishment)
Description:  The specimen was a cluster of very dark green single 
crystals half a centimeter to one centimeter in length and almost as 
wide.



Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  hornbl1a.txt

4.5040	15.113
4.5001	15.123
4.4962	15.125
4.4923	15.151
4.4884	15.170
4.4846	15.178
4.4807	15.197
4.4768	15.218
4.4730	15.229
4.4691	15.239
4.4652	15.254
4.4614	15.264
4.4576	15.272
4.4537	15.294
4.4499	15.304
4.4461	15.313
4.4423	15.327
4.4385	15.351
4.4347	15.365
4.4309	15.383
4.4271	15.403
4.4233	15.412
4.4196	15.419
4.4158	15.433
4.4120	15.450
4.4083	15.465
4.4045	15.479
4.4008	15.493
4.3971	15.496
4.3934	15.493
4.3896	15.504
4.3859	15.515
4.3822	15.519
4.3785	15.531
4.3748	15.545
4.3711	15.543
4.3674	15.548
4.3638	15.557
4.3601	15.563
4.3564	15.574
4.3528	15.575
4.3491	15.577
4.3455	15.585
4.3418	15.597
4.3382	15.599
4.3346	15.597
4.3310	15.600
4.3273	15.613
4.3237	15.616
4.3201	15.621
4.3165	15.639
4.3129	15.646
4.3094	15.648
4.3058	15.659
4.3022	15.661
4.2986	15.662
4.2951	15.672
4.2915	15.680
4.2880	15.682
4.2844	15.686
4.2809	15.700
4.2774	15.705
4.2738	15.710
4.2703	15.719
4.2668	15.729
4.2633	15.732
4.2598	15.737
4.2563	15.756
4.2528	15.756
4.2493	15.752
4.2458	15.759
4.2424	15.769
4.2389	15.771
4.2354	15.775
4.2320	15.777
4.2285	15.783
4.2251	15.801
4.2216	15.809
4.2182	15.805
4.2148	15.809
4.2113	15.825
4.2079	15.836
4.2045	15.830
4.2011	15.835
4.1977	15.844
4.1943	15.843
4.1909	15.851
4.1875	15.863
4.1841	15.863
4.1808	15.861
4.1774	15.869
4.1740	15.876
4.1707	15.885
4.1673	15.891
4.1640	15.888
4.1606	15.882
4.1573	15.895
4.1540	15.911
4.1506	15.914
4.1473	15.917
4.1440	15.928
4.1407	15.933
4.1374	15.929
4.1341	15.938
4.1308	15.947
4.1275	15.948
4.1242	15.948
4.1209	15.959
4.1177	15.972
4.1144	15.967
4.1111	15.961
4.1079	15.975
4.1046	15.990
4.1014	15.994
4.0981	16.004
4.0949	16.007
4.0917	16.008
4.0884	16.014
4.0852	16.029
4.0820	16.035
4.0788	16.035
4.0756	16.037
4.0724	16.040
4.0692	16.048
4.0660	16.053
4.0628	16.052
4.0596	16.051
4.0565	16.067
4.0533	16.080
4.0501	16.075
4.0470	16.081
4.0438	16.090
4.0406	16.091
4.0375	16.091
4.0344	16.098
4.0312	16.102
4.0281	16.104
4.0250	16.116
4.0218	16.123
4.0187	16.108
4.0156	16.101
4.0125	16.109
4.0094	16.108
4.0063	16.103
4.0032	16.094
4.0001	16.093
3.9970	16.093
3.9940	16.081
3.9909	16.067
3.9878	16.063
3.9847	16.071
3.9817	16.073
3.9786	16.064
3.9756	16.076
3.9725	16.094
3.9695	16.099
3.9665	16.105
3.9634	16.117
3.9604	16.124
3.9574	16.136
3.9544	16.152
3.9513	16.170
3.9483	16.183
3.9453	16.193
3.9423	16.206
3.9393	16.205
3.9363	16.208
3.9333	16.229
3.9304	16.241
3.9274	16.251
3.9244	16.253
3.9214	16.255
3.9185	16.253
3.9155	16.265
3.9126	16.281
3.9096	16.277
3.9067	16.284
3.9037	16.298
3.9008	16.304
3.8979	16.312
3.8949	16.318
3.8920	16.325
3.8891	16.329
3.8862	16.320
3.8833	16.325
3.8804	16.323
3.8775	16.320
3.8746	16.326
3.8717	16.325
3.8688	16.330
3.8659	16.344
3.8630	16.351
3.8601	16.345
3.8573	16.343
3.8544	16.348
3.8515	16.354
3.8487	16.355
3.8458	16.361
3.8430	16.367
3.8401	16.371
3.8373	16.370
3.8344	16.371
3.8316	16.367
3.8288	16.373
3.8259	16.384
3.8231	16.388
3.8203	16.387
3.8175	16.392
3.8147	16.391
3.8119	16.395
3.8091	16.396
3.8063	16.402
3.8035	16.414
3.8007	16.407
3.7979	16.411
3.7951	16.421
3.7924	16.427
3.7896	16.427
3.7868	16.423
3.7841	16.423
3.7813	16.428
3.7785	16.433
3.7758	16.433
3.7730	16.433
3.7703	16.435
3.7676	16.435
3.7648	16.440
3.7621	16.441
3.7594	16.443
3.7566	16.449
3.7539	16.449
3.7512	16.447
3.7485	16.446
3.7458	16.448
3.7431	16.441
3.7404	16.452
3.7377	16.452
3.7350	16.444
3.7323	16.440
3.7296	16.442
3.7269	16.448
3.7242	16.446
3.7216	16.435
3.7189	16.436
3.7162	16.429
