Name:  Anorthite CaAl2Si2O8
Type:  Mineral (Synthetic)
Class:  Silicates
Subclass:  Tectosilicates (Framework silicates) (Feldspar Group)
Particle Size:  Coarse (75-250 Micrometers)
Sample No.:  anorthite.1
Owner:  JHU
Wavelength Range:  IR
Origin:  Sample from Bruce Hemingway, USGS; synthesized by James 
Woodhead, Princeton University.
Description: The sample was a coarse white powder.  The sample 
appears pure under the microscope, with very fine 
(cryptocrystalline) texture.



Measurement:  Bidirectional reflectance
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  4.4055
Number of X Values:  2287
Additional Information:  anorth1a.txt

6.253501961	1.5808
6.245967447	1.5769
6.238451067	1.5832
6.230952756	1.5835
6.223472449	1.5828
6.21601008	1.5857
6.208565585	1.5923
6.201142747	1.5915
6.1937338	1.5837
6.186342535	1.5815
6.178968891	1.5862
6.171612803	1.5837
6.164274209	1.5884
6.156953047	1.5962
6.149649255	1.5969
6.14236277	1.5955
6.135093533	1.5957
6.12784148	1.6023
6.120606552	1.6006
6.113388688	1.5998
6.106187828	1.6082
6.099003911	1.6069
6.091836878	1.6067
6.084686669	1.6111
6.077553226	1.6069
6.070436489	1.6050
6.063336399	1.6133
6.056252899	1.6125
6.049185931	1.6067
6.042135436	1.6191
6.035101357	1.6221
6.02808727	1.6182
6.021085843	1.6240
6.01410066	1.6372
6.007131667	1.6450
6.000178805	1.6511
5.99324202	1.6545
5.986321256	1.6614
5.979416457	1.6753
5.972527568	1.6848
5.965654534	1.6926
5.9587973	1.7026
5.951955813	1.7097
5.945130017	1.7175
5.938319859	1.7239
5.931525286	1.7451
5.924746243	1.7600
5.917982678	1.7610
5.911234538	1.7759
5.904501769	1.7913
5.89778432	1.7964
5.891082139	1.8142
5.884395172	1.8308
5.87772337	1.8472
5.871066679	1.8591
5.864428488	1.8677
5.85780186	1.8833
5.851190191	1.8955
5.84459343	1.9072
5.838011527	1.9211
5.831444431	1.9304
5.824892094	1.9456
5.818354465	1.9690
5.811831494	1.9897
5.805323133	2.0017
5.798829332	2.0085
5.792350043	2.0229
5.785885217	2.0422
5.779434806	2.0586
5.772998761	2.0723
5.766577035	2.0796
5.760169579	2.0945
5.753776347	2.1172
5.747397291	2.1343
5.741032364	2.1372
5.734681519	2.1482
5.728344709	2.1704
5.722021888	2.1819
5.715713009	2.1921
5.709421287	2.2136
5.703140149	2.2270
5.696872816	2.2351
5.690619242	2.2510
5.684379382	2.2649
5.678153192	2.2705
5.671940626	2.2817
5.66574164	2.2949
5.659556189	2.3103
5.653384229	2.3264
5.647225716	2.3315
5.641080605	2.3320
5.634948854	2.3401
5.628830419	2.3496
5.622725256	2.3581
5.616633323	2.3662
5.610557723	2.3721
5.604492113	2.3784
5.598439603	2.3794
5.592400152	2.3799
5.586373717	2.3777
5.580360257	2.3769
5.574359729	2.3794
5.568372092	2.3794
5.562397304	2.3799
5.556435324	2.3745
5.550486112	2.3660
5.544549625	2.3647
5.538625823	2.3606
5.532714665	2.3562
5.526816112	2.3564
5.520930122	2.3508
5.515056656	2.3435
5.509195674	2.3362
5.503347136	2.3357
5.497511002	2.3367
5.491687233	2.3313
5.48587579	2.3264
5.480076633	2.3203
5.474289725	2.3247
5.468518015	2.3274
5.462755479	2.3262
5.457005076	2.3235
5.451266765	2.3242
5.445540511	2.3318
5.439826274	2.3372
5.434124016	2.3408
5.428433701	2.3423
5.422755291	2.3433
5.417088748	2.3545
5.411434035	2.3635
5.405791116	2.3721
5.400159953	2.3862
5.394540509	2.4026
5.388932749	2.4211
5.383336635	2.4316
5.377752132	2.4497
5.372179203	2.4685
5.366617813	2.4810
5.361067925	2.4961
5.355529504	2.5129
5.350002515	2.5227
5.344486921	2.5378
5.338982689	2.5564
5.333492627	2.5747
5.328011006	2.5852
5.32254064	2.5955
5.317081497	2.6096
5.31163354	2.6243
5.306196736	2.6304
5.30077105	2.6438
5.295356449	2.6567
5.289952898	2.6755
5.284560364	2.6968
5.279178813	2.7143
5.273808212	2.7302
5.268448526	2.7471
5.263099724	2.7710
5.257761771	2.7895
5.252434635	2.8044
5.247118283	2.8245
5.241812682	2.8430
5.236517799	2.8584
5.231233603	2.8848
5.225960061	2.9089
5.220697141	2.9199
5.21544481	2.9363
5.210203036	2.9622
5.204974498	2.9834
5.19975374	3.0061
5.194543444	3.0271
5.189343579	3.0481
5.184154115	3.0747
5.178975019	3.0986
5.173806261	3.1184
5.168647809	3.1431
5.163499634	3.1760
5.158361704	3.2014
5.153233989	3.2224
5.148116459	3.2519
5.143009082	3.2764
5.137911829	3.2986
5.13282467	3.3301
5.127747575	3.3586
5.122680514	3.3755
5.117623458	3.4033
5.112576376	3.4319
5.107539239	3.4587
5.102512018	3.4807
5.097494683	3.4980
5.092487206	3.5278
5.087489558	3.5530
5.082504292	3.5740
5.077526209	3.5920
5.072557868	3.6108
5.06759924	3.6304
5.062650297	3.6489
5.057711011	3.6702
5.052781354	3.6860
5.047861297	3.7060
5.042950812	3.7278
5.038049872	3.7510
5.033158448	3.7764
5.028276513	3.8013
5.023404039	3.8249
5.018541	3.8474
5.013687367	3.8757
5.008843113	3.9072
5.004010715	3.9324
4.999185133	3.9558
4.994368849	3.9839
4.989561837	4.0093
4.984764069	4.0290
4.979975518	4.0561
4.97519616	4.0884
4.970425966	4.1142
4.96566491	4.1411
4.960912967	4.1684
4.95617011	4.1975
4.951436313	4.2204
4.94671155	4.2478
4.941995795	4.2705
4.937289023	4.2895
4.932591209	4.3193
4.927902325	4.3491
4.923222347	4.3750
4.918551251	4.3992
4.913889009	4.4248
4.909235598	4.4495
4.904590991	4.4790
4.899955165	4.5110
4.895328095	4.5334
4.890712146	4.5593
4.886102507	4.5903
4.88150155	4.6174
4.876909249	4.6372
4.87232558	4.6572
4.86775052	4.6850
4.863184043	4.7114
4.858626126	4.7410
4.854076745	4.7695
4.849535875	4.7898
4.845003493	4.8093
4.840479575	4.8359
4.835964098	4.8647
4.831457037	4.8862
4.826958369	4.9116
4.822468072	4.9258
4.81798612	4.9477
4.813512492	4.9773
4.809047164	5.0056
4.804590113	5.0222
4.800141316	5.0405
4.79570075	5.0649
4.791268392	5.0842
4.78684422	5.1001
4.782430498	5.1238
4.778022625	5.1453
4.773622869	5.1597
4.769231209	5.1819
4.764847623	5.2036
4.760472086	5.2139
4.756104579	5.2312
4.751745078	5.2612
4.747393562	5.2871
4.743050009	5.3081
4.738714396	5.3313
4.734386703	5.3511
4.730066907	5.3655
4.725754987	5.3901
4.721450921	5.4287
4.717154688	5.4470
4.712866266	5.4690
4.708585635	5.5036
4.704312773	5.5347
4.700047658	5.5547
4.695790271	5.5810
4.691540589	5.6189
4.687298593	5.6421
4.68306426	5.6692
4.67883976	5.7053
4.67462069	5.7329
4.670409221	5.7622
4.666205334	5.7908
4.662009009	5.8186
4.657820224	5.8491
4.65363896	5.8833
4.649465195	5.9172
4.645298911	5.9485
4.641140087	5.9907
4.636988702	6.0351
4.632844738	6.0683
4.628708174	6.1015
4.62457899	6.1484
4.620457167	6.1960
4.616342684	6.2370
4.612235523	6.2803
4.608135664	6.3218
4.604043086	6.3613
4.599957772	6.4045
4.595879702	6.4509
4.591808856	6.4973
4.587745215	6.5317
4.58368876	6.5732
4.57964157	6.6138
4.575599426	6.6482
4.571564412	6.6872
4.567536508	6.7253
4.563515696	6.7590
4.559501956	6.7983
4.555495271	6.8410
4.551495621	6.8779
4.547502989	6.9077
4.543517355	6.9387
4.539538701	6.9692
4.535567009	6.9997
4.531602261	7.0322
4.527644439	7.0691
4.523693523	7.0959
4.519749497	7.1196
4.515814382	7.1513
4.511884077	7.1728
4.507960608	7.1992
4.504043956	7.2280
4.500134104	7.2480
4.496231034	7.2646
4.492334729	7.2861
4.488445171	7.3098
4.484562343	7.3323
4.480686226	7.3511
4.476816804	7.3664
4.47295406	7.3703
4.469097975	7.3882
4.465248534	7.4101
4.461405718	7.4140
4.45756951	7.4158
4.453739894	7.4216
4.449916853	7.4328
4.44610037	7.4414
4.442290427	7.4509
4.438487009	7.4541
4.434690097	7.4599
4.430899676	7.4665
4.42711573	7.4790
4.423340197	7.4878
4.419569145	7.4888
4.415804518	7.4990
4.412046298	7.5068
4.408294471	7.5110
4.404549018	7.5151
4.400809925	7.5249
4.397077175	7.5378
4.393350752	7.5451
4.389630639	7.5642
4.385916821	7.5886
4.382209282	7.5976
4.378508006	7.6189
4.374812977	7.6411
4.371124179	7.6633
4.367441596	7.6872
4.363765214	7.7068
4.360095015	7.7307
4.356430985	7.7546
4.352773108	7.7861
4.349121369	7.8161
4.345475751	7.8371
4.341836241	7.8677
4.338202821	7.9026
4.334577357	7.9375
4.330956072	7.9741
4.327340832	8.0095
4.323731623	8.0471
4.320128429	8.0842
4.316531235	8.1279
4.312940028	8.1755
4.30935479	8.2151
4.305775509	8.2561
4.302202168	8.2944
