Name:  Natrolite Na2Al2Si3O10.2H2O
Type:  Mineral
Class:  Silicates
Subclass:  Tectosilicates (Framework Silicates); (ZeoliteGroup)
Particle Size:  Solid
Sample No.: natrol.1
Owner:  JHU
Wavelength Range:  IR
Origin: Poonah, India via Hunt and Salisbury Collection #169B

Description: The sample appeared to be pure natrolite, although most 
grains were permeated with what appeared to be fluid inclusions.




Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  natrol1a.txt

5.194543444	8.5415
5.189343579	8.5476
5.184154115	8.5544
5.178975019	8.5603
5.173806261	8.5642
5.168647809	8.5691
5.163499634	8.5744
5.158361704	8.5798
5.153233989	8.5827
5.148116459	8.5845
5.143009082	8.5876
5.137911829	8.591
5.13282467	8.5937
5.127747575	8.5947
5.122680514	8.5967
5.117623458	8.5996
5.112576376	8.6006
5.107539239	8.6052
5.102512018	8.6079
5.097494683	8.6084
5.092487206	8.6091
5.087489558	8.6076
5.082504292	8.6084
5.077526209	8.6101
5.072557868	8.6106
5.06759924	8.6098
5.062650297	8.6091
5.057711011	8.6081
5.052781354	8.6072
5.047861297	8.6074
5.042950812	8.6079
5.038049872	8.6089
5.033158448	8.6116
5.028276513	8.6142
5.023404039	8.6189
5.018541	8.626
5.013687367	8.6347
5.008843113	8.6435
5.004010715	8.6504
4.999185133	8.6592
4.994368849	8.6665
4.989561837	8.6736
4.984764069	8.6804
4.979975518	8.6877
4.97519616	8.6936
4.970425966	8.7011
4.96566491	8.7087
4.960912967	8.7146
4.95617011	8.7214
4.951436313	8.7285
4.94671155	8.7344
4.941995795	8.7392
4.937289023	8.7439
4.932591209	8.7492
4.927902325	8.7539
4.923222347	8.7573
4.918551251	8.7612
4.913889009	8.7636
4.909235598	8.7668
4.904590991	8.768
4.899955165	8.7712
4.895328095	8.7761
4.890712146	8.7788
4.886102507	8.7832
4.88150155	8.7871
4.876909249	8.791
4.87232558	8.7947
4.86775052	8.7993
4.863184043	8.8034
4.858626126	8.8081
4.854076745	8.8127
4.849535875	8.8164
4.845003493	8.8213
4.840479575	8.8254
4.835964098	8.8296
4.831457037	8.8342
4.826958369	8.8388
4.822468072	8.8425
4.81798612	8.8454
4.813512492	8.8491
4.809047164	8.8535
4.804590113	8.8574
4.800141316	8.8613
4.79570075	8.8652
4.791268392	8.8699
4.78684422	8.8725
4.782430498	8.8757
4.778022625	8.8784
4.773622869	8.8828
4.769231209	8.8838
4.764847623	8.8865
4.760472086	8.8882
4.756104579	8.8889
4.751745078	8.8899
4.747393562	8.8899
4.743050009	8.8879
4.738714396	8.8882
4.734386703	8.8869
4.730066907	8.8855
4.725754987	8.884
4.721450921	8.8821
4.717154688	8.8772
4.712866266	8.8723
4.708585635	8.8681
4.704312773	8.862
4.700047658	8.8552
4.695790271	8.8462
4.691540589	8.8364
4.687298593	8.8266
4.68306426	8.8154
4.67883976	8.8032
4.67462069	8.7915
4.670409221	8.7805
4.666205334	8.7695
4.662009009	8.7605
4.657820224	8.7532
4.65363896	8.748
4.649465195	8.7439
4.645298911	8.7409
4.641140087	8.7422
4.636988702	8.7441
4.632844738	8.7468
4.628708174	8.7524
4.62457899	8.7602
4.620457167	8.77
4.616342684	8.7783
4.612235523	8.7883
4.608135664	8.7986
4.604043086	8.81
4.599957772	8.8208
4.595879702	8.8323
4.591808856	8.8432
4.587745215	8.852
4.58368876	8.862
4.57964157	8.872
4.575599426	8.8811
4.571564412	8.8884
4.567536508	8.8962
4.563515696	8.9026
4.559501956	8.9089
4.555495271	8.9155
4.551495621	8.9216
4.547502989	8.9292
4.543517355	8.9345
4.539538701	8.9404
4.535567009	8.9468
4.531602261	8.9543
4.527644439	8.9631
4.523693523	8.9697
4.519749497	8.977
4.515814382	8.9839
4.511884077	8.9922
4.507960608	8.999
4.504043956	9.0071
4.500134104	9.0144
4.496231034	9.0222
4.492334729	9.0307
4.488445171	9.0386
4.484562343	9.0481
4.480686226	9.0583
4.476816804	9.0688
4.47295406	9.0796
4.469097975	9.0903
4.465248534	9.1003
4.461405718	9.112
4.45756951	9.124
4.453739894	9.136
4.449916853	9.1477
4.44610037	9.1599
4.442290427	9.1731
4.438487009	9.1845
4.434690097	9.1965
4.430899676	9.208
4.42711573	9.2185
4.423340197	9.2287
4.419569145	9.2402
4.415804518	9.25
4.412046298	9.26
4.408294471	9.268
4.404549018	9.2754
4.400809925	9.2839
4.397077175	9.292
4.393350752	9.2981
4.389630639	9.3052
4.385916821	9.3117
4.382209282	9.3176
4.378508006	9.3237
4.374812977	9.3301
4.371124179	9.3371
4.367441596	9.3447
4.363765214	9.3501
4.360095015	9.3569
4.356430985	9.3652
4.352773108	9.3716
4.349121369	9.3784
4.345475751	9.384
4.341836241	9.3901
4.338202821	9.396
4.334577357	9.4021
4.330956072	9.4067
4.327340832	9.4114
4.323731623	9.4162
4.320128429	9.4197
4.316531235	9.4233
4.312940028	9.4267
4.30935479	9.4306
4.305775509	9.4341
4.302202168	9.4375
4.298634754	9.4421
4.29507325	9.4465
4.291517644	9.4519
4.287967919	9.4565
4.284424062	9.4643
4.280886058	9.4721
4.277353892	9.4812
4.27382755	9.4917
4.270307018	9.5019
4.266792281	9.5141
4.263283325	9.5298
4.259780136	9.5469
4.256282699	9.5576
4.252791	9.5598
4.249306832	9.5603
4.245826565	9.562
4.242351994	9.5652
4.238883105	9.571
4.235419885	9.5781
4.231962319	9.5859
4.228510393	9.5971
4.225064094	9.6089
4.221623408	9.6213
4.218188322	9.6347
4.214758821	9.6489
4.211334892	9.6616
4.207916522	9.6733
4.204503696	9.6833
4.201096402	9.6928
4.197694626	9.7007
4.194300114	9.7102
4.190909331	9.7192
4.187524026	9.7282
4.184144186	9.7358
4.180769797	9.7456
4.177400846	9.7549
4.174037321	9.7658
4.170679208	9.7771
4.167326493	9.79
4.163979165	9.8044
4.16063721	9.8196
4.157300615	9.8344
4.153969367	9.8498
4.150643454	9.8657
4.147322862	9.8818
4.144007579	9.8969
4.140697592	9.9114
4.137392888	9.9267
4.134093455	9.9424
4.130799281	9.956
4.127510352	9.9687
4.124226656	9.9824
4.120948181	9.9946
4.117674914	10.0053
4.114408535	10.0176
4.111145645	10.0283
4.107887925	10.0371
4.104635365	10.0451
4.101387951	10.053
4.098145671	10.0593
4.094908514	10.0683
4.091676466	10.0732
4.088449517	10.0781
4.085227653	10.083
4.082010864	10.0869
4.078799136	10.0891
4.075592459	10.0908
4.072390819	10.0915
4.069194206	10.0918
4.066002607	10.0891
4.062816011	10.0871
4.059634406	10.0825
4.056457779	10.0766
4.053286121	10.0691
4.050119418	10.0644
4.046957659	10.0649
4.043800833	10.07
4.040648928	10.0805
4.037503563	10.0935
4.034361463	10.104
4.031224251	10.1147
4.028091913	10.1245
4.024964439	10.1325
4.021841819	10.1404
4.018724039	10.1489
4.01561109	10.1557
4.012502959	10.1631
4.009399637	10.1704
4.00630111	10.1775
4.00320737	10.1841
4.000118404	10.1926
3.997034201	10.2009
3.99395475	10.2065
3.990880041	10.2138
3.987810062	10.2221
3.984744803	10.2304
3.981684252	10.2378
3.9786284	10.2446
3.975577234	10.2524
3.972530744	10.2602
3.96948892	10.2663
3.966451751	10.2734
3.963420797	10.2807
3.960392903	10.2878
3.957369631	10.2944
3.954350972	10.301
3.951336915	10.3066
3.948327449	10.313
3.945322564	10.3198
3.942322249	10.3247
3.939326493	10.3274
3.936335288	10.3337
3.933348621	10.3366
3.930366483	10.3405
3.927388864	10.3452
