Name:  Labradorite (Na,Ca)Al(Al,Si)Si2O8
Type:  Mineral
Class:  Silicates
Subclass:  Tectosilicates (Framework Silicates); (Feldspar Group)
Particle Size:  Solid (Fractured Surface)
Sample No.: labrador.1
Owner:  JHU
Wavelength Range:  IR
Origin: Lake County, Oregon, acquired from the Smithsonian (sample 
no. NMNH 115500) via Dave Stewart, USGS
Description: The sample consisted of a 2 cm x 1 cm x 0.2 cm, 0.536 g 
portion, of a single transparent crystal.  The fragment seemed to 
have been sawn on one side.  A very, very small amount of iron 
oxide stain could be seen on the surface of the fragment and still less 
on the inside.  No impurities were detected under the microscope.

Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  labrad1a.txt

5.604492113	5.5879
5.598439603	5.5935
5.592400152	5.5957
5.586373717	5.5952
5.580360257	5.5964
5.574359729	5.6045
5.568372092	5.6113
5.562397304	5.6155
5.556435324	5.6125
5.550486112	5.612
5.544549625	5.6235
5.538625823	5.6304
5.532714665	5.633
5.526816112	5.6326
5.520930122	5.6348
5.515056656	5.6409
5.509195674	5.644
5.503347136	5.6433
5.497511002	5.646
5.491687233	5.6479
5.48587579	5.6487
5.480076633	5.6438
5.474289725	5.6467
5.468518015	5.6533
5.462755479	5.656
5.457005076	5.6594
5.451266765	5.6611
5.445540511	5.6631
5.439826274	5.666
5.434124016	5.6697
5.428433701	5.6689
5.422755291	5.6623
5.417088748	5.6684
5.411434035	5.6777
5.405791116	5.6763
5.400159953	5.6753
5.394540509	5.6816
5.388932749	5.6855
5.383336635	5.6821
5.377752132	5.6824
5.372179203	5.6797
5.366617813	5.6772
5.361067925	5.6787
5.355529504	5.6794
5.350002515	5.6782
5.344486921	5.6831
5.338982689	5.6948
5.333492627	5.6941
5.328011006	5.6914
5.32254064	5.6936
5.317081497	5.6943
5.31163354	5.6941
5.306196736	5.696
5.30077105	5.7029
5.295356449	5.6987
5.289952898	5.6907
5.284560364	5.6953
5.279178813	5.7038
5.273808212	5.7073
5.268448526	5.706
5.263099724	5.7077
5.257761771	5.7107
5.252434635	5.707
5.247118283	5.7014
5.241812682	5.7053
5.236517799	5.7134
5.231233603	5.7143
5.225960061	5.7156
5.220697141	5.7114
5.21544481	5.7053
5.210203036	5.7099
5.204974498	5.7119
5.19975374	5.708
5.194543444	5.7124
5.189343579	5.7156
5.184154115	5.7148
5.178975019	5.7165
5.173806261	5.7131
5.168647809	5.7114
5.163499634	5.7097
5.158361704	5.7109
5.153233989	5.7114
5.148116459	5.7085
5.143009082	5.7124
5.137911829	5.7165
5.13282467	5.7139
5.127747575	5.7185
5.122680514	5.717
5.117623458	5.7085
5.112576376	5.7065
5.107539239	5.7119
5.102512018	5.7109
5.097494683	5.7104
5.092487206	5.7148
5.087489558	5.7173
5.082504292	5.7153
5.077526209	5.7114
5.072557868	5.7085
5.06759924	5.7051
5.062650297	5.7073
5.057711011	5.7124
5.052781354	5.7114
5.047861297	5.708
5.042950812	5.7097
5.038049872	5.7143
5.033158448	5.7114
5.028276513	5.7163
5.023404039	5.7126
5.018541	5.7124
5.013687367	5.7148
5.008843113	5.7146
5.004010715	5.7134
4.999185133	5.7112
4.994368849	5.7156
4.989561837	5.7173
4.984764069	5.7139
4.979975518	5.7163
4.97519616	5.7178
4.970425966	5.7124
4.96566491	5.7146
4.960912967	5.716
4.95617011	5.7156
4.951436313	5.7197
4.94671155	5.7234
4.941995795	5.7175
4.937289023	5.7124
4.932591209	5.7217
4.927902325	5.7263
4.923222347	5.7209
4.918551251	5.7222
4.913889009	5.7295
4.909235598	5.7302
4.904590991	5.7214
4.899955165	5.719
4.895328095	5.7222
4.890712146	5.7192
4.886102507	5.7241
4.88150155	5.7319
4.876909249	5.7331
4.87232558	5.7292
4.86775052	5.729
4.863184043	5.7239
4.858626126	5.7246
4.854076745	5.7312
4.849535875	5.7339
4.845003493	5.7317
4.840479575	5.7351
4.835964098	5.7412
4.831457037	5.7456
4.826958369	5.7485
4.822468072	5.7495
4.81798612	5.7561
4.813512492	5.7536
4.809047164	5.7507
4.804590113	5.749
4.800141316	5.7463
4.79570075	5.7495
4.791268392	5.7554
4.78684422	5.7497
4.782430498	5.7497
4.778022625	5.7507
4.773622869	5.7439
4.769231209	5.7468
4.764847623	5.7529
4.760472086	5.7561
4.756104579	5.7517
4.751745078	5.751
4.747393562	5.7539
4.743050009	5.7519
4.738714396	5.7497
4.734386703	5.7554
4.730066907	5.7546
4.725754987	5.749
4.721450921	5.7493
4.717154688	5.7539
4.712866266	5.749
4.708585635	5.7475
4.704312773	5.7558
4.700047658	5.7536
4.695790271	5.7493
4.691540589	5.7483
4.687298593	5.7456
4.68306426	5.7475
4.67883976	5.7563
4.67462069	5.7605
4.670409221	5.7566
4.666205334	5.751
4.662009009	5.7583
4.657820224	5.7651
4.65363896	5.7558
4.649465195	5.7583
4.645298911	5.7593
4.641140087	5.7549
4.636988702	5.7539
4.632844738	5.7563
4.628708174	5.7515
4.62457899	5.7471
4.620457167	5.7539
4.616342684	5.7576
4.612235523	5.7617
4.608135664	5.761
4.604043086	5.7573
4.599957772	5.76
4.595879702	5.7629
4.591808856	5.7644
4.587745215	5.7649
4.58368876	5.7637
4.57964157	5.7598
4.575599426	5.7607
4.571564412	5.7627
4.567536508	5.7632
4.563515696	5.7685
4.559501956	5.7622
4.555495271	5.7568
4.551495621	5.7629
4.547502989	5.76
4.543517355	5.7546
