Name:  Happy Canyon
Type:  Stony Meteorites
Class:  Enstatite Chondrite
Subclass:  E6
Particle Size:  0-75 micrometers
Sample No.:  Happy Canyon
Owner:  JHU
Wavelength range:  IR
Origin:  Meteorite found in 1971.  Smithsonian sample No. USNM 5820.

Description:  None.





Measurement:  Bidirectional reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.044
Last X Value:  2.0795
Number of X Values:  2286
Additional information:  None

3.8288	4.3003
3.8259	4.2956
3.8231	4.2905
3.8203	4.2839
3.8175	4.2761
3.8147	4.2673
3.8119	4.2580
3.8091	4.2493
3.8063	4.2412
3.8035	4.2334
3.8007	4.2258
3.7979	4.2185
3.7951	4.2112
3.7924	4.2036
3.7896	4.1960
3.7868	4.1887
3.7841	4.1814
3.7813	4.1736
3.7785	4.1662
3.7758	4.1594
3.7730	4.1523
3.7703	4.1445
3.7676	4.1370
3.7648	4.1301
3.7621	4.1228
3.7594	4.1145
3.7566	4.1059
3.7539	4.0969
3.7512	4.0881
3.7485	4.0791
3.7458	4.0710
3.7431	4.0637
3.7404	4.0557
3.7377	4.0471
3.7350	4.0386
3.7323	4.0305
3.7296	4.0227
3.7269	4.0151
3.7242	4.0076
3.7216	3.9993
3.7189	3.9900
3.7162	3.9800
3.7136	3.9702
3.7109	3.9604
3.7083	3.9512
3.7056	3.9419
3.7030	3.9331
3.7003	3.9250
3.6977	3.9167
3.6950	3.9079
3.6924	3.8989
3.6898	3.8889
3.6872	3.8791
3.6845	3.8701
3.6819	3.8621
3.6793	3.8550
3.6767	3.8479
3.6741	3.8403
3.6715	3.8320
3.6689	3.8227
3.6663	3.8140
3.6637	3.8061
3.6611	3.7988
3.6585	3.7910
3.6560	3.7827
3.6534	3.7732
3.6508	3.7632
3.6482	3.7532
3.6457	3.7446
3.6431	3.7378
3.6406	3.7322
3.6380	3.7268
3.6355	3.7209
3.6329	3.7136
3.6304	3.7056
3.6278	3.6963
3.6253	3.6865
3.6227	3.6772
3.6202	3.6689
3.6177	3.6604
3.6152	3.6523
3.6127	3.6445
3.6101	3.6372
3.6076	3.6301
3.6051	3.6230
3.6026	3.6155
3.6001	3.6077
3.5976	3.5989
3.5951	3.5898
3.5926	3.5808
3.5901	3.5725
3.5876	3.5654
3.5852	3.5588
3.5827	3.5522
3.5802	3.5449
3.5777	3.5371
3.5753	3.5283
3.5728	3.5185
3.5704	3.5098
3.5679	3.5012
3.5654	3.4932
3.5630	3.4849
3.5605	3.4768
3.5581	3.4687
3.5557	3.4602
3.5532	3.4521
3.5508	3.4446
3.5484	3.4377
3.5459	3.4309
3.5435	3.4241
3.5411	3.4170
3.5387	3.4092
3.5363	3.3999
3.5338	3.3894
3.5314	3.3784
3.5290	3.3677
3.5266	3.3572
3.5242	3.3479
3.5218	3.3386
3.5195	3.3279
3.5171	3.3149
3.5147	3.2996
3.5123	3.2839
3.5099	3.2690
3.5075	3.2561
3.5052	3.2463
3.5028	3.2400
3.5004	3.2353
3.4981	3.2317
3.4957	3.2275
3.4934	3.2239
3.4910	3.2197
3.4887	3.2146
3.4863	3.2090
