Name:  PCA 82507
Type:  Stony Meteorites
Class:  Ordinary Chondrite
Subclass:  LL6
Particle Size:  0-75 micrometers
Sample No.:  PCA 82507
Owner:  JHU
Wavelength range:  IR
Origin:  Found in Antarctic in 1982.  Smithsonian sample No. PCA 82507.05.

Description:  None.





Measurement:  Bidirectional reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.044
Last X Value:  2.0795
Number of X Values:  2286
Additional information:  None

4.1875	7.6755
4.1841	7.6802
4.1808	7.6826
4.1774	7.6833
4.1740	7.6836
4.1707	7.6831
4.1673	7.6838
4.1640	7.6846
4.1606	7.6858
4.1573	7.6885
4.1540	7.6904
4.1506	7.6914
4.1473	7.6919
4.1440	7.6926
4.1407	7.6936
4.1374	7.6946
4.1341	7.6975
4.1308	7.6999
4.1275	7.7004
4.1242	7.7016
4.1209	7.7038
4.1177	7.7060
4.1144	7.7085
4.1111	7.7109
4.1079	7.7126
4.1046	7.7126
4.1014	7.7131
4.0981	7.7151
4.0949	7.7180
4.0917	7.7209
4.0884	7.7224
4.0852	7.7231
4.0820	7.7239
4.0788	7.7251
4.0756	7.7273
4.0724	7.7307
4.0692	7.7348
4.0660	7.7380
4.0628	7.7402
4.0596	7.7407
4.0565	7.7395
4.0533	7.7375
4.0501	7.7368
4.0470	7.7373
4.0438	7.7378
4.0406	7.7402
4.0375	7.7436
4.0344	7.7458
4.0312	7.7485
4.0281	7.7517
4.0250	7.7534
4.0218	7.7556
4.0187	7.7578
4.0156	7.7595
4.0125	7.7607
4.0094	7.7615
4.0063	7.7634
4.0032	7.7656
4.0001	7.7688
3.9970	7.7722
3.9940	7.7737
3.9909	7.7734
3.9878	7.7732
3.9847	7.7717
3.9817	7.7700
3.9786	7.7705
3.9756	7.7722
3.9725	7.7712
3.9695	7.7693
3.9665	7.7695
3.9634	7.7712
3.9604	7.7729
3.9574	7.7744
3.9544	7.7776
3.9513	7.7788
3.9483	7.7781
3.9453	7.7783
3.9423	7.7788
3.9393	7.7776
3.9363	7.7754
3.9333	7.7724
3.9304	7.7702
3.9274	7.7690
3.9244	7.7705
3.9214	7.7746
3.9185	7.7766
3.9155	7.7771
3.9126	7.7766
3.9096	7.7744
3.9067	7.7698
3.9037	7.7661
3.9008	7.7666
3.8979	7.7698
3.8949	7.7722
3.8920	7.7746
3.8891	7.7768
3.8862	7.7751
3.8833	7.7712
3.8804	7.7676
3.8775	7.7661
3.8746	7.7656
3.8717	7.7656
3.8688	7.7666
3.8659	7.7685
3.8630	7.7695
3.8601	7.7712
3.8573	7.7724
3.8544	7.7710
3.8515	7.7680
3.8487	7.7654
3.8458	7.7639
3.8430	7.7639
3.8401	7.7649
3.8373	7.7658
3.8344	7.7658
3.8316	7.7651
3.8288	7.7656
3.8259	7.7661
3.8231	7.7658
3.8203	7.7651
3.8175	7.7641
3.8147	7.7634
3.8119	7.7610
3.8091	7.7590
3.8063	7.7597
3.8035	7.7607
3.8007	7.7615
3.7979	7.7612
3.7951	7.7619
3.7924	7.7615
3.7896	7.7600
