Name:  New Concord
Type:  Stony Meteorites
Class:  Ordinary Chondrite
Subclass:  L6
Particle Size:  0-75 micrometers
Sample No.:  Murray
Owner:  JHU
Wavelength range:  IR
Origin:  Meteorite seen to fall in 1960.  Smithsonian sample without a catalog 
number.
Description:  None.





Measurement:  Bidirectional reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.044
Last X Value:  2.0795
Number of X Values:  2286
Additional information:  None

4.4120	7.0356
4.4083	7.0395
4.4045	7.0434
4.4008	7.0473
4.3971	7.0510
4.3934	7.0542
4.3896	7.0566
4.3859	7.0591
4.3822	7.0615
4.3785	7.0637
4.3748	7.0659
4.3711	7.0686
4.3674	7.0708
4.3638	7.0727
4.3601	7.0744
4.3564	7.0762
4.3528	7.0774
4.3491	7.0781
4.3455	7.0788
4.3418	7.0803
4.3382	7.0823
4.3346	7.0854
4.3310	7.0893
4.3273	7.0932
4.3237	7.0964
4.3201	7.0989
4.3165	7.1008
4.3129	7.1020
4.3094	7.1037
4.3058	7.1062
4.3022	7.1089
4.2986	7.1111
4.2951	7.1133
4.2915	7.1159
4.2880	7.1186
4.2844	7.1213
4.2809	7.1252
4.2774	7.1291
4.2738	7.1326
4.2703	7.1360
4.2668	7.1394
4.2633	7.1433
4.2598	7.1472
4.2563	7.1513
4.2528	7.1555
4.2493	7.1596
4.2458	7.1633
4.2424	7.1665
4.2389	7.1697
4.2354	7.1726
4.2320	7.1753
4.2285	7.1780
4.2251	7.1816
4.2216	7.1853
4.2182	7.1887
4.2148	7.1924
4.2113	7.1960
4.2079	7.1990
4.2045	7.2014
4.2011	7.2036
4.1977	7.2055
4.1943	7.2070
4.1909	7.2087
4.1875	7.2109
4.1841	7.2141
4.1808	7.2168
4.1774	7.2202
4.1740	7.2236
4.1707	7.2265
4.1673	7.2292
4.1640	7.2314
4.1606	7.2334
4.1573	7.2348
4.1540	7.2358
4.1506	7.2373
4.1473	7.2392
4.1440	7.2414
4.1407	7.2436
4.1374	7.2456
4.1341	7.2466
4.1308	7.2473
4.1275	7.2480
4.1242	7.2495
4.1209	7.2514
4.1177	7.2536
4.1144	7.2558
4.1111	7.2578
4.1079	7.2590
4.1046	7.2597
4.1014	7.2605
4.0981	7.2617
4.0949	7.2632
4.0917	7.2646
4.0884	7.2659
4.0852	7.2666
4.0820	7.2663
4.0788	7.2656
4.0756	7.2651
4.0724	7.2649
4.0692	7.2654
4.0660	7.2671
4.0628	7.2698
4.0596	7.2727
4.0565	7.2756
4.0533	7.2783
4.0501	7.2803
4.0470	7.2805
4.0438	7.2795
4.0406	7.2778
4.0375	7.2761
4.0344	7.2746
4.0312	7.2744
4.0281	7.2754
4.0250	7.2773
4.0218	7.2790
4.0187	7.2798
4.0156	7.2793
4.0125	7.2785
4.0094	7.2783
4.0063	7.2785
4.0032	7.2800
4.0001	7.2825
3.9970	7.2856
3.9940	7.2888
3.9909	7.2917
3.9878	7.2942
3.9847	7.2954
3.9817	7.2949
3.9786	7.2930
3.9756	7.2910
3.9725	7.2893
3.9695	7.2886
3.9665	7.2886
3.9634	7.2890
3.9604	7.2893
3.9574	7.2893
3.9544	7.2893
3.9513	7.2898
3.9483	7.2903
3.9453	7.2905
3.9423	7.2908
3.9393	7.2908
3.9363	7.2905
3.9333	7.2908
3.9304	7.2917
3.9274	7.2922
3.9244	7.2912
3.9214	7.2890
3.9185	7.2866
3.9155	7.2849
3.9126	7.2842
3.9096	7.2844
3.9067	7.2861
3.9037	7.2881
3.9008	7.2888
3.8979	7.2886
3.8949	7.2878
3.8920	7.2873
3.8891	7.2866
3.8862	7.2854
3.8833	7.2844
3.8804	7.2827
3.8775	7.2807
3.8746	7.2785
3.8717	7.2763
3.8688	7.2746
3.8659	7.2734
3.8630	7.2727
3.8601	7.2727
3.8573	7.2734
3.8544	7.2744
3.8515	7.2756
3.8487	7.2761
3.8458	7.2756
3.8430	7.2739
3.8401	7.2720
3.8373	7.2702
3.8344	7.2690
3.8316	7.2680
3.8288	7.2676
3.8259	7.2666
3.8231	7.2651
3.8203	7.2634
3.8175	7.2615
3.8147	7.2600
3.8119	7.2583
3.8091	7.2566
3.8063	7.2551
3.8035	7.2541
3.8007	7.2532
3.7979	7.2517
3.7951	7.2502
3.7924	7.2483
3.7896	7.2461
3.7868	7.2446
3.7841	7.2439
3.7813	7.2436
3.7785	7.2434
3.7758	7.2427
3.7730	7.2417
3.7703	7.2407
3.7676	7.2397
3.7648	7.2392
3.7621	7.2385
3.7594	7.2380
3.7566	7.2378
3.7539	7.2373
3.7512	7.2361
3.7485	7.2341
3.7458	7.2319
3.7431	7.2295
3.7404	7.2270
3.7377	7.2251
3.7350	7.2246
3.7323	7.2241
3.7296	7.2229
3.7269	7.2212
3.7242	7.2192
3.7216	7.2165
3.7189	7.2134
3.7162	7.2104
3.7136	7.2077
3.7109	7.2051
3.7083	7.2024
3.7056	7.1997
3.7030	7.1972
3.7003	7.1950
3.6977	7.1926
3.6950	7.1904
3.6924	7.1882
3.6898	7.1860
3.6872	7.1843
3.6845	7.1826
3.6819	7.1809
3.6793	7.1789
3.6767	7.1763
3.6741	7.1731
3.6715	7.1697
3.6689	7.1667
3.6663	7.1648
3.6637	7.1636
3.6611	7.1626
3.6585	7.1618
3.6560	7.1611
3.6534	7.1601
3.6508	7.1589
3.6482	7.1579
3.6457	7.1567
3.6431	7.1550
3.6406	7.1518
3.6380	7.1477
3.6355	7.1433
3.6329	7.1391
3.6304	7.1362
3.6278	7.1347
3.6253	7.1343
3.6227	7.1345
3.6202	7.1340
3.6177	7.1328
3.6152	7.1311
3.6127	7.1291
3.6101	7.1269
3.6076	7.1242
3.6051	7.1206
3.6026	7.1164
3.6001	7.1116
3.5976	7.1067
3.5951	7.1028
3.5926	7.0998
3.5901	7.0967
3.5876	7.0923
3.5852	7.0867
3.5827	7.0803
3.5802	7.0735
3.5777	7.0676
3.5753	7.0625
3.5728	7.0574
3.5704	7.0515
3.5679	7.0451
3.5654	7.0378
3.5630	7.0303
3.5605	7.0227
3.5581	7.0156
3.5557	7.0083
3.5532	7.0000
3.5508	6.9914
3.5484	6.9829
3.5459	6.9743
3.5435	6.9658
3.5411	6.9573
3.5387	6.9482
3.5363	6.9370
3.5338	6.9226
3.5314	6.9045
3.5290	6.8821
3.5266	6.8540
3.5242	6.8205
3.5218	6.7805
3.5195	6.7339
3.5171	6.6799
3.5147	6.6194
3.5123	6.5549
3.5099	6.4914
3.5075	6.4350
3.5052	6.3916
3.5028	6.3650
3.5004	6.3562
3.4981	6.3620
3.4957	6.3767
3.4934	6.3940
3.4910	6.4089
3.4887	6.4189
3.4863	6.4248
3.4840	6.4287
3.4816	6.4338
