Name:  TIL 82402
Type:  Stony Meteorites
Class:  Ordinary Chondrite
Subclass:  LL6
Particle Size:  0-75 micrometers
Sample No.:  TIL 82402
Owner:  JHU
Wavelength range:  IR
Origin:  Meteorite found in Antarctica in 1982.  Smithsonian sample No. TIL 
82402.05.
Description:  None.





Measurement:  Bidirectional reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.044
Last X Value:  2.0795
Number of X Values:  2286
Additional information:  None

4.0533	6.4641
4.0501	6.4646
4.0470	6.4648
4.0438	6.4656
4.0406	6.4670
4.0375	6.4692
4.0344	6.4719
4.0312	6.4751
4.0281	6.4780
4.0250	6.4800
4.0218	6.4812
4.0187	6.4814
4.0156	6.4814
4.0125	6.4814
4.0094	6.4817
4.0063	6.4819
4.0032	6.4824
4.0001	6.4824
3.9970	6.4822
3.9940	6.4819
3.9909	6.4822
3.9878	6.4834
3.9847	6.4851
3.9817	6.4873
3.9786	6.4892
3.9756	6.4897
3.9725	6.4890
3.9695	6.4880
3.9665	6.4873
3.9634	6.4875
3.9604	6.4895
3.9574	6.4922
3.9544	6.4944
3.9513	6.4949
3.9483	6.4939
3.9453	6.4927
3.9423	6.4912
3.9393	6.4905
3.9363	6.4907
3.9333	6.4912
3.9304	6.4910
3.9274	6.4900
3.9244	6.4883
3.9214	6.4866
3.9185	6.4858
3.9155	6.4861
3.9126	6.4880
3.9096	6.4910
3.9067	6.4941
3.9037	6.4966
3.9008	6.4985
3.8979	6.4993
3.8949	6.4988
3.8920	6.4980
3.8891	6.4973
3.8862	6.4966
3.8833	6.4958
3.8804	6.4951
3.8775	6.4946
3.8746	6.4941
3.8717	6.4941
3.8688	6.4946
3.8659	6.4953
3.8630	6.4966
3.8601	6.4973
3.8573	6.4975
3.8544	6.4975
3.8515	6.4968
3.8487	6.4951
3.8458	6.4929
3.8430	6.4902
3.8401	6.4878
3.8373	6.4858
3.8344	6.4848
3.8316	6.4853
3.8288	6.4870
3.8259	6.4892
3.8231	6.4914
3.8203	6.4927
3.8175	6.4927
3.8147	6.4917
3.8119	6.4907
3.8091	6.4895
3.8063	6.4885
3.8035	6.4880
3.8007	6.4880
3.7979	6.4880
3.7951	6.4878
3.7924	6.4885
3.7896	6.4895
3.7868	6.4902
3.7841	6.4907
3.7813	6.4910
3.7785	6.4912
3.7758	6.4910
3.7730	6.4910
3.7703	6.4912
3.7676	6.4914
3.7648	6.4912
3.7621	6.4912
3.7594	6.4910
3.7566	6.4907
3.7539	6.4907
3.7512	6.4905
3.7485	6.4902
3.7458	6.4895
3.7431	6.4890
3.7404	6.4888
3.7377	6.4885
3.7350	6.4883
3.7323	6.4883
3.7296	6.4880
3.7269	6.4870
3.7242	6.4853
3.7216	6.4834
3.7189	6.4817
3.7162	6.4795
3.7136	6.4770
3.7109	6.4748
3.7083	6.4722
3.7056	6.4692
3.7030	6.4665
3.7003	6.4651
3.6977	6.4653
3.6950	6.4663
3.6924	6.4675
3.6898	6.4680
3.6872	6.4670
3.6845	6.4646
3.6819	6.4614
3.6793	6.4587
3.6767	6.4573
3.6741	6.4570
3.6715	6.4577
3.6689	6.4582
3.6663	6.4575
3.6637	6.4553
3.6611	6.4526
3.6585	6.4502
3.6560	6.4487
3.6534	6.4494
3.6508	6.4516
3.6482	6.4541
3.6457	6.4551
3.6431	6.4548
3.6406	6.4536
3.6380	6.4519
3.6355	6.4497
3.6329	6.4485
3.6304	6.4475
3.6278	6.4465
3.6253	6.4455
3.6227	6.4448
3.6202	6.4433
3.6177	6.4409
3.6152	6.4380
3.6127	6.4353
3.6101	6.4333
3.6076	6.4333
3.6051	6.4343
3.6026	6.4355
3.6001	6.4355
3.5976	6.4338
3.5951	6.4311
3.5926	6.4282
3.5901	6.4260
3.5876	6.4250
3.5852	6.4248
3.5827	6.4245
3.5802	6.4231
3.5777	6.4206
3.5753	6.4175
3.5728	6.4138
3.5704	6.4101
3.5679	6.4067
3.5654	6.4038
3.5630	6.4016
3.5605	6.3999
3.5581	6.3977
3.5557	6.3948
3.5532	6.3911
3.5508	6.3872
3.5484	6.3833
3.5459	6.3808
3.5435	6.3799
3.5411	6.3791
3.5387	6.3774
3.5363	6.3743
3.5338	6.3696
3.5314	6.3638
3.5290	6.3584
3.5266	6.3547
3.5242	6.3525
3.5218	6.3506
3.5195	6.3479
3.5171	6.3447
3.5147	6.3406
3.5123	6.3352
3.5099	6.3306
3.5075	6.3269
3.5052	6.3235
3.5028	6.3198
3.5004	6.3161
3.4981	6.3135
