Name:  Very pale brown to brownish yellow interior dry gravelly silt loam 
Type:  Soils
Class:  Aridisol
Subclass:  Gypsiorthid
Particle Size:  see additional information
Sample No.:  82P2695
Owner:  JHU
Wavelength range:  All
Origin:  Schuamri wildlife reserve on highway Azraq to Saudi Arabia via USDA 
Soil Conservation service.
Description:  from grazed rangeland.  Very pale brown interior dry gravelly silt 
loam to brownish yellow interior moist gravelly silt loam (typic gypsiorthid).




Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  82P2695a.txt

3.6845	27.9660
3.6819	27.8880
3.6793	27.8110
3.6767	27.7360
3.6741	27.6620
3.6715	27.5880
3.6689	27.5140
3.6663	27.4390
3.6637	27.3630
3.6611	27.2850
3.6585	27.2050
3.6560	27.1240
3.6534	27.0400
3.6508	26.9530
3.6482	26.8620
3.6457	26.7670
3.6431	26.6670
3.6406	26.5660
3.6380	26.4650
3.6355	26.3660
3.6329	26.2710
3.6304	26.1780
3.6278	26.0860
3.6253	25.9930
3.6227	25.8970
3.6202	25.7990
3.6177	25.6980
3.6152	25.5940
3.6127	25.4880
3.6101	25.3780
3.6076	25.2640
3.6051	25.1460
3.6026	25.0270
3.6001	24.9050
3.5976	24.7810
3.5951	24.6540
3.5926	24.5210
3.5901	24.3810
3.5876	24.2310
3.5852	24.0720
3.5827	23.9080
3.5802	23.7440
3.5777	23.5850
3.5753	23.4360
3.5728	23.3010
3.5704	23.1790
3.5679	23.0660
3.5654	22.9560
3.5630	22.8440
3.5605	22.7250
3.5581	22.5940
3.5557	22.4510
3.5532	22.2940
3.5508	22.1260
3.5484	21.9450
3.5459	21.7540
3.5435	21.5520
3.5411	21.3370
3.5387	21.1070
3.5363	20.8600
3.5338	20.5900
3.5314	20.2950
3.5290	19.9720
3.5266	19.6220
3.5242	19.2490
3.5218	18.8590
3.5195	18.4650
3.5171	18.0790
3.5147	17.7130
3.5123	17.3770
3.5099	17.0780
3.5075	16.8150
3.5052	16.5840
3.5028	16.3780
3.5004	16.1890
3.4981	16.0060
3.4957	15.8230
3.4934	15.6360
3.4910	15.4440
3.4887	15.2510
3.4863	15.0620
3.4840	14.8920
3.4816	14.7530
3.4793	14.6630
3.4770	14.6310
3.4746	14.6630
3.4723	14.7550
3.4700	14.8920
3.4677	15.0520
3.4653	15.2140
3.4630	15.3550
3.4607	15.4630
3.4584	15.5310
3.4561	15.5590
3.4538	15.5550
3.4515	15.5300
3.4492	15.4910
3.4469	15.4470
3.4446	15.3990
3.4423	15.3500
3.4400	15.2950
3.4378	15.2330
3.4355	15.1600
3.4332	15.0750
3.4309	14.9780
3.4287	14.8740
3.4264	14.7650
3.4241	14.6580
3.4219	14.5570
3.4196	14.4650
3.4174	14.3870
3.4151	14.3230
3.4129	14.2720
3.4106	14.2300
3.4084	14.1940
3.4061	14.1590
3.4039	14.1230
3.4017	14.0840
3.3994	14.0440
3.3972	14.0010
3.3950	13.9560
3.3928	13.9080
3.3906	13.8530
3.3883	13.7910
3.3861	13.7210
3.3839	13.6460
3.3817	13.5730
3.3795	13.5060
3.3773	13.4480
3.3751	13.3960
3.3729	13.3440
3.3707	13.2810
