Name:  Dark brown fine sandy loam 
Type:  Soils
Class:  Inceptisol
Subclass:  Haplumbrept
Particle Size:  see additional information
Sample No.:  86P4561
Owner:  JHU
Wavelength range:  All
Origin:  Haywood Co. NC. via USDA Soil Conservation service.

Description:  Dark brown fine sandy loam (sandy-skeletal, mixed, 
mesic Fluventic haplumbrept).




Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  86P4561a.txt

4.1111	13.3322
4.1079	13.3203
4.1046	13.3108
4.1014	13.3022
4.0981	13.2893
4.0949	13.2729
4.0917	13.2536
4.0884	13.2324
4.0852	13.2080
4.0820	13.1894
4.0788	13.1833
4.0756	13.1809
4.0724	13.1770
4.0692	13.1692
4.0660	13.1530
4.0628	13.1320
4.0596	13.1057
4.0565	13.0791
4.0533	13.0534
4.0501	13.0261
4.0470	13.0002
4.0438	12.9763
4.0406	12.9575
4.0375	12.9460
4.0344	12.9331
4.0312	12.9174
4.0281	12.8977
4.0250	12.8718
4.0218	12.8447
4.0187	12.8205
4.0156	12.8010
4.0125	12.7824
4.0094	12.7646
4.0063	12.7487
4.0032	12.7339
4.0001	12.7185
3.9970	12.7072
3.9940	12.7016
3.9909	12.6936
3.9878	12.6828
3.9847	12.6718
3.9817	12.6572
3.9786	12.6447
3.9756	12.6318
3.9725	12.6154
3.9695	12.6003
3.9665	12.5861
3.9634	12.5705
3.9604	12.5559
3.9574	12.5373
3.9544	12.5183
3.9513	12.4987
3.9483	12.4802
3.9453	12.4675
3.9423	12.4638
3.9393	12.4582
3.9363	12.4448
3.9333	12.4265
3.9304	12.4050
3.9274	12.3864
3.9244	12.3720
3.9214	12.3618
3.9185	12.3557
3.9155	12.3427
3.9126	12.3193
3.9096	12.2942
3.9067	12.2678
3.9037	12.2424
3.9008	12.2190
3.8979	12.1965
3.8949	12.1775
3.8920	12.1594
3.8891	12.1430
3.8862	12.1284
3.8833	12.1074
3.8804	12.0827
3.8775	12.0578
3.8746	12.0334
3.8717	12.0119
3.8688	11.9917
3.8659	11.9697
3.8630	11.9433
3.8601	11.9067
3.8573	11.8694
3.8544	11.8381
3.8515	11.8130
3.8487	11.7932
3.8458	11.7778
3.8430	11.7619
3.8401	11.7429
3.8373	11.7165
3.8344	11.6889
3.8316	11.6589
3.8288	11.6201
3.8259	11.5796
3.8231	11.5442
3.8203	11.5122
3.8175	11.4851
3.8147	11.4616
3.8119	11.4450
3.8091	11.4243
3.8063	11.3913
3.8035	11.3550
3.8007	11.3208
3.7979	11.2898
3.7951	11.2588
3.7924	11.2309
3.7896	11.2107
3.7868	11.1887
3.7841	11.1618
3.7813	11.1330
3.7785	11.0991
3.7758	11.0632
3.7730	11.0239
3.7703	10.9795
3.7676	10.9306
3.7648	10.8872
3.7621	10.8525
3.7594	10.8215
3.7566	10.7915
3.7539	10.7636
3.7512	10.7348
3.7485	10.6987
3.7458	10.6582
3.7431	10.6242
3.7404	10.5876
3.7377	10.5468
3.7350	10.5110
3.7323	10.4775
3.7296	10.4389
3.7269	10.3955
3.7242	10.3581
3.7216	10.3291
3.7189	10.2932
3.7162	10.2575
3.7136	10.2341
3.7109	10.2094
3.7083	10.1731
3.7056	10.1291
3.7030	10.0906
3.7003	10.0564
3.6977	10.0202
3.6950	9.9883
3.6924	9.9619
3.6898	9.9353
3.6872	9.9011
3.6845	9.8608
3.6819	9.8220
3.6793	9.7793
3.6767	9.7356
3.6741	9.6985
3.6715	9.6699
3.6689	9.6416
3.6663	9.6069
3.6637	9.5715
3.6611	9.5371
3.6585	9.4988
3.6560	9.4577
3.6534	9.4162
3.6508	9.3762
3.6482	9.3344
3.6457	9.2995
3.6431	9.2715
3.6406	9.2422
3.6380	9.2116
3.6355	9.1806
3.6329	9.1433
3.6304	9.0981
3.6278	9.0473
3.6253	8.9963
3.6227	8.9526
3.6202	8.9111
3.6177	8.8782
3.6152	8.8559
3.6127	8.8308
3.6101	8.7939
3.6076	8.7453
3.6051	8.6953
3.6026	8.6443
3.6001	8.5918
3.5976	8.5517
3.5951	8.5180
3.5926	8.4853
3.5901	8.4558
3.5876	8.4216
3.5852	8.3825
3.5827	8.3379
3.5802	8.2927
3.5777	8.2539
3.5753	8.2136
3.5728	8.1767
3.5704	8.1404
3.5679	8.0967
3.5654	8.0520
3.5630	8.0054
3.5605	7.9516
3.5581	7.8974
3.5557	7.8459
3.5532	7.8005
3.5508	7.7615
3.5484	7.7292
3.5459	7.6994
3.5435	7.6584
3.5411	7.6057
3.5387	7.5444
3.5363	7.4736
3.5338	7.3989
3.5314	7.3269
3.5290	7.2580
3.5266	7.1897
3.5242	7.1179
3.5218	7.0344
3.5195	6.9350
3.5171	6.8181
3.5147	6.6846
3.5123	6.5478
3.5099	6.4201
3.5075	6.3144
3.5052	6.2439
3.5028	6.2085
3.5004	6.2038
3.4981	6.2197
3.4957	6.2412
3.4934	6.2593
3.4910	6.2590
3.4887	6.2444
3.4863	6.2292
3.4840	6.2063
3.4816	6.1782
3.4793	6.1557
3.4770	6.1360
3.4746	6.1142
3.4723	6.0859
3.4700	6.0576
3.4677	6.0290
3.4653	5.9931
3.4630	5.9546
3.4607	5.9153
3.4584	5.8728
3.4561	5.8308
3.4538	5.7873
3.4515	5.7412
3.4492	5.6963
3.4469	5.6577
3.4446	5.6140
3.4423	5.5664
3.4400	5.5144
3.4378	5.4492
3.4355	5.3723
3.4332	5.2837
3.4309	5.1894
3.4287	5.1064
3.4264	5.0361
3.4241	4.9846
3.4219	4.9441
3.4196	4.9089
3.4174	4.8818
3.4151	4.8640
3.4129	4.8608
3.4106	4.8774
3.4084	4.9021
3.4061	4.9253
3.4039	4.9441
3.4017	4.9536
3.3994	4.9541
3.3972	4.9624
3.3950	4.9849
3.3928	5.0110
3.3906	5.0310
3.3883	5.0517
3.3861	5.0715
3.3839	5.0771
3.3817	5.0698
3.3795	5.0586
3.3773	5.0478
3.3751	5.0378
3.3729	5.0320
3.3707	5.0359
3.3685	5.0481
3.3663	5.0644
3.3641	5.0779
3.3620	5.0830
3.3598	5.0832
3.3576	5.0852
3.3554	5.0864
3.3533	5.0864
3.3511	5.0891
3.3489	5.0986
3.3468	5.1028
3.3446	5.0935
3.3425	5.0791
3.3403	5.0742
3.3382	5.0710
3.3360	5.0679
3.3339	5.0696
3.3317	5.0674
3.3296	5.0517
3.3274	5.0298
3.3253	5.0068
3.3232	4.9839
3.3210	4.9495
3.3189	4.9116
3.3168	4.8874
3.3147	4.8669
3.3126	4.8479
3.3104	4.8415
3.3083	4.8440
3.3062	4.8440
3.3041	4.8254
3.3020	4.7944
3.2999	4.7712
3.2978	4.7529
3.2957	4.7331
3.2936	4.7202
3.2915	4.7126
3.2894	4.7036
3.2874	4.6841
3.2853	4.6565
3.2832	4.6306
3.2811	4.5986
3.2790	4.5615
3.2770	4.5281
3.2749	4.4961
3.2728	4.4631
3.2708	4.4331
3.2687	4.4126
3.2666	4.4011
3.2646	4.3882
3.2625	4.3738
3.2605	4.3584
3.2584	4.3389
3.2564	4.3159
