Name:  Dark grayish brown silty loam
Type:  Soils
Class:  Mollisol
Subclass:  Agialboll
Particle Size:  see additional information
Sample No.:  85P5339
Owner:  JHU
Wavelength range:  All
Origin:  Nez Perce Co., Id. via USDA Soil Conservation service.

Description: Parent material is loess from mixed material.  Dark 
grayish brown silty loam, (fine, montmorillonitic, mesic xeric).  
Physiography:  upland slope in plateaus or tablelands.



Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  85P5339a.txt

3.5777	16.7282
3.5753	16.6543
3.5728	16.5839
3.5704	16.5119
3.5679	16.4336
3.5654	16.3498
3.5630	16.2619
3.5605	16.1728
3.5581	16.0861
3.5557	16.0024
3.5532	15.9206
3.5508	15.8374
3.5484	15.7541
3.5459	15.6738
3.5435	15.5944
3.5411	15.5136
3.5387	15.4304
3.5363	15.3418
3.5338	15.2434
3.5314	15.1345
3.5290	15.0217
3.5266	14.9116
3.5242	14.8020
3.5218	14.6887
3.5195	14.5700
3.5171	14.4423
3.5147	14.3010
3.5123	14.1494
3.5099	14.0014
3.5075	13.8696
3.5052	13.7590
3.5028	13.6716
3.5004	13.6086
3.4981	13.5632
3.4957	13.5236
3.4934	13.4839
3.4910	13.4416
3.4887	13.3935
3.4863	13.3359
3.4840	13.2666
3.4816	13.1882
3.4793	13.1045
3.4770	13.0202
3.4746	12.9414
3.4723	12.8713
3.4700	12.8078
3.4677	12.7441
3.4653	12.6762
3.4630	12.6047
3.4607	12.5302
3.4584	12.4546
3.4561	12.3789
3.4538	12.3042
3.4515	12.2270
3.4492	12.1443
3.4469	12.0581
3.4446	11.9721
3.4423	11.8852
3.4400	11.7973
3.4378	11.7070
3.4355	11.6115
3.4332	11.5061
3.4309	11.3872
3.4287	11.2583
3.4264	11.1277
3.4241	11.0014
3.4219	10.8889
3.4196	10.7968
3.4174	10.7256
3.4151	10.6689
3.4129	10.6206
3.4106	10.5788
3.4084	10.5439
3.4061	10.5149
3.4039	10.4946
3.4017	10.4814
3.3994	10.4677
3.3972	10.4470
3.3950	10.4192
3.3928	10.3855
3.3906	10.3471
3.3883	10.3047
3.3861	10.2624
3.3839	10.2185
3.3817	10.1687
3.3795	10.1147
3.3773	10.0605
3.3751	10.0080
3.3729	9.9597
3.3707	9.9167
3.3685	9.8828
3.3663	9.8557
3.3641	9.8305
3.3620	9.8034
3.3598	9.7695
3.3576	9.7263
3.3554	9.6767
3.3533	9.6274
3.3511	9.5820
3.3489	9.5390
3.3468	9.4961
3.3446	9.4463
3.3425	9.3869
3.3403	9.3208
3.3382	9.2558
3.3360	9.1982
3.3339	9.1472
3.3317	9.0984
3.3296	9.0486
3.3274	8.9936
3.3253	8.9343
3.3232	8.8757
3.3210	8.8208
3.3189	8.7702
3.3168	8.7207
3.3147	8.6667
3.3126	8.6069
3.3104	8.5400
3.3083	8.4682
3.3062	8.3977
3.3041	8.3323
3.3020	8.2737
3.2999	8.2202
3.2978	8.1699
3.2957	8.1179
3.2936	8.0583
3.2915	7.9929
3.2894	7.9255
3.2874	7.8572
