Name:  Brown gravelly sandy loam
Type:  Soils
Class:  Aridisol
Subclass:  Haplargid
Particle Size:  see additional information
Sample No.:  89P1793
Owner:  JHU
Wavelength range:  All
Origin:  Inyo Co., Ca., (Wild Horse Mesa) via USDA Soil Conservation 
service.
Description:  The parent material is alluvium from fan terrace.  Brown 
gravelly sandy loam, (fine-loamy, mixed, mesic Xerollic).




Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  89P1793a.txt

3.7621	27.6577
3.7594	27.5931
3.7566	27.5294
3.7539	27.4673
3.7512	27.4072
3.7485	27.3487
3.7458	27.2904
3.7431	27.2331
3.7404	27.1770
3.7377	27.1239
3.7350	27.0752
3.7323	27.0311
3.7296	26.9916
3.7269	26.9546
3.7242	26.9189
3.7216	26.8833
3.7189	26.8480
3.7162	26.8130
3.7136	26.7794
3.7109	26.7472
3.7083	26.7166
3.7056	26.6856
3.7030	26.6536
3.7003	26.6216
3.6977	26.5894
3.6950	26.5582
3.6924	26.5295
3.6898	26.5042
3.6872	26.4798
3.6845	26.4540
3.6819	26.4246
3.6793	26.3917
3.6767	26.3564
3.6741	26.3209
3.6715	26.2863
3.6689	26.2527
3.6663	26.2176
3.6637	26.1783
3.6611	26.1343
3.6585	26.0862
3.6560	26.0362
3.6534	25.9860
3.6508	25.9363
3.6482	25.8870
3.6457	25.8368
3.6431	25.7843
3.6406	25.7286
3.6380	25.6699
3.6355	25.6078
3.6329	25.5420
3.6304	25.4736
3.6278	25.4049
3.6253	25.3374
3.6227	25.2718
3.6202	25.2083
3.6177	25.1460
3.6152	25.0831
3.6127	25.0175
3.6101	24.9490
3.6076	24.8796
3.6051	24.8098
3.6026	24.7409
3.6001	24.6731
3.5976	24.6047
3.5951	24.5334
3.5926	24.4579
3.5901	24.3788
3.5876	24.2973
3.5852	24.2161
3.5827	24.1375
3.5802	24.0629
3.5777	23.9902
3.5753	23.9174
3.5728	23.8426
3.5704	23.7647
3.5679	23.6828
3.5654	23.5982
3.5630	23.5130
3.5605	23.4280
3.5581	23.3436
3.5557	23.2608
3.5532	23.1795
3.5508	23.1002
3.5484	23.0216
3.5459	22.9430
3.5435	22.8629
3.5411	22.7798
3.5387	22.6929
3.5363	22.6029
3.5338	22.5101
