Name:  Dark yellowish brown micaceous loam
Type:  Soils
Class:  Inceptisol
Subclass:  Dystrochrept
Particle Size:  see additional information
Sample No.:  88P2535
Owner:  JHU
Wavelength range:  All
Origin: Howard Co., Md. via USDA Soil Conservation service.

Description:  The parent material is schist and phyllite.  Dark 
yellowish brown micaceous loam (coarse-loamy, micaceous, mesic typic), 
from piedmonts.



Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  88P2535a.txt

3.5363	12.4082
3.5338	12.3100
3.5314	12.2221
3.5290	12.1552
3.5266	12.0898
3.5242	12.0163
3.5218	11.9384
3.5195	11.8476
3.5171	11.7404
3.5147	11.6259
3.5123	11.5212
3.5099	11.4248
3.5075	11.3261
3.5052	11.2480
3.5028	11.1911
3.5004	11.1408
3.4981	11.1018
3.4957	11.0771
3.4934	11.0539
3.4910	11.0173
3.4887	10.9809
3.4863	10.9543
3.4840	10.9209
3.4816	10.8740
3.4793	10.8261
3.4770	10.7800
3.4746	10.7295
3.4723	10.6706
3.4700	10.6167
3.4677	10.5715
3.4653	10.5385
3.4630	10.5093
3.4607	10.4724
3.4584	10.4333
3.4561	10.3818
3.4538	10.3098
3.4515	10.2199
3.4492	10.1316
3.4469	10.0542
3.4446	9.9861
3.4423	9.9172
3.4400	9.8567
3.4378	9.8066
3.4355	9.7641
3.4332	9.7116
3.4309	9.6418
3.4287	9.5571
3.4264	9.4592
3.4241	9.3608
3.4219	9.2693
3.4196	9.1931
3.4174	9.1426
3.4151	9.1020
3.4129	9.0681
3.4106	9.0451
3.4084	9.0329
3.4061	9.0322
3.4039	9.0324
3.4017	9.0198
3.3994	9.0046
3.3972	8.9934
3.3950	8.9836
3.3928	8.9753
3.3906	8.9707
3.3883	8.9477
3.3861	8.9082
3.3839	8.8684
3.3817	8.8352
3.3795	8.8076
3.3773	8.7737
3.3751	8.7402
3.3729	8.7143
3.3707	8.6902
3.3685	8.6762
3.3663	8.6736
3.3641	8.6689
3.3620	8.6504
3.3598	8.6213
3.3576	8.5888
3.3554	8.5581
3.3533	8.5383
3.3511	8.5232
3.3489	8.5007
3.3468	8.4709
3.3446	8.4409
3.3425	8.4155
3.3403	8.3906
3.3382	8.3674
3.3360	8.3379
3.3339	8.2986
3.3317	8.2519
3.3296	8.2004
3.3274	8.1526
3.3253	8.1128
3.3232	8.0866
3.3210	8.0679
3.3189	8.0278
3.3168	7.9804
3.3147	7.9421
3.3126	7.9089
3.3104	7.8645
3.3083	7.8135
3.3062	7.7707
3.3041	7.7302
3.3020	7.6782
3.2999	7.6267
3.2978	7.5859
3.2957	7.5537
3.2936	7.5137
3.2915	7.4656
3.2894	7.4238
3.2874	7.3918
3.2853	7.3581
3.2832	7.3181
3.2811	7.2700
3.2790	7.2224
