Name:  Basalt
Type:  Rock
Class: Igneous   
Subclass: Mafic 
Particle Size:  Whole rock chips
Sample No.:  ba9c2f
Owner:  Larry Rowan, USGS
Wavelength range:  VNIR SWIR IR
Origin:  Wadi Salima, Jordan

Description:  dark gray vesicular basalt 





Measurement:  Reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  0.4
Last X Value:  14.01309
Number of X Values:  2826
Additional Information:  ba9c2fa.txt

2.36692	0.0754
2.368	0.0762
2.36909	0.0771
2.37017	0.0773
2.37125	0.0764
2.37234	0.0761
2.37342	0.0748
2.37451	0.0754
2.3756	0.0767
2.37669	0.077
2.37778	0.0765
2.37887	0.0774
2.37996	0.0773
2.38105	0.0766
2.38214	0.0771
2.38324	0.0763
2.38433	0.0741
2.38543	0.0757
2.38653	0.0775
2.38763	0.0779
2.38873	0.0782
2.38983	0.0776
2.39093	0.0759
2.39203	0.076
2.39314	0.0767
2.39424	0.0757
2.39535	0.0745
2.39645	0.0746
2.39756	0.0749
2.39867	0.0764
2.39978	0.0759
2.40089	0.0749
2.402	0.0736
2.40312	0.0742
2.40423	0.0761
2.40535	0.0765
2.40646	0.0756
2.40758	0.0753
2.4087	0.0756
2.40982	0.0762
2.41094	0.0751
2.41206	0.0744
2.41318	0.0748
2.4143	0.0749
2.41543	0.0758
2.41655	0.0753
2.41768	0.0731
2.41881	0.0729
2.41994	0.0735
2.42107	0.0742
2.4222	0.0743
2.42333	0.0742
2.42446	0.0753
2.4256	0.0754
2.42673	0.074
2.42787	0.0728
2.429	0.0715
2.43014	0.0731
2.43128	0.0744
2.43242	0.0748
2.43356	0.0737
2.43471	0.0729
2.43585	0.072
2.43699	0.0712
2.43814	0.0718
2.43929	0.0723
2.44043	0.0727
2.44158	0.0726
2.44273	0.0731
2.44388	0.0748
2.44504	0.0744
2.44619	0.0731
2.44734	0.0729
2.4485	0.0731
2.44966	0.073
2.45081	0.0734
2.45197	0.0729
2.45313	0.0732
2.45429	0.0724
2.45545	0.0717
2.45662	0.0727
2.45778	0.0735
2.45895	0.0737
2.46011	0.0737
2.46128	0.0731
2.46245	0.0732
2.46362	0.0725
2.46479	0.0727
2.46596	0.0724
2.46714	0.0727
2.46831	0.0727
2.46949	0.0733
2.47066	0.0723
2.47184	0.0711
2.47302	0.0701
2.4742	0.0708
2.47538	0.0728
2.47656	0.0727
2.47774	0.0709
2.47893	0.071
2.48011	0.0721
2.4813	0.0722
2.48249	0.0714
2.48368	0.0714
2.48487	0.0718
2.48606	0.0721
2.48725	0.0708
2.48844	0.0707
2.48964	0.0711
2.49083	0.0705
2.49203	0.0705
2.49323	0.0712
2.49443	0.071
2.49563	0.0705
2.49683	0.0707
2.49803	0.0704
2.49924	0.0714
2.50044	0.0726
2.50165	0.0719
2.50286	0.0703
2.50406	0.0703
2.50527	0.0704
2.50648	0.0697
2.5077	0.0692
2.50891	0.0696
2.51012	0.07
2.51134	0.0681
2.51256	0.068
2.51377	0.0701
2.51499	0.0713
2.51621	0.0714
2.51743	0.0705
2.51866	0.07
2.51988	0.0701
2.52111	0.0687
2.52233	0.0676
2.52356	0.0675
2.52479	0.0681
2.52602	0.0689
2.52725	0.0691
2.52848	0.0689
2.52971	0.0682
2.53095	0.067
2.53218	0.0676
2.53342	0.0685
2.53466	0.0678
2.5359	0.0666
2.53714	0.0666
2.53838	0.0681
2.53962	0.0681
2.54087	0.0666
2.54211	0.0663
2.54336	0.0672
2.54461	0.0689
2.54586	0.0686
2.54711	0.0667
2.54836	0.0668
2.54961	0.0665
2.55087	0.0654
2.55212	0.0655
2.55338	0.067
2.55464	0.0684
2.55589	0.0685
2.55716	0.0691
2.55842	0.0675
2.55968	0.0645
2.56094	0.0631
2.56221	0.064
2.56348	0.0649
2.56474	0.0661
2.56601	0.0662
2.56728	0.0667
2.56855	0.0667
2.56983	0.0666
2.5711	0.0671
2.57238	0.0656
2.57365	0.0664
2.57493	0.0669
2.57621	0.0637
2.57749	0.066
2.57877	0.0686
2.58005	0.066
2.58134	0.0652
2.58262	0.0647
2.58391	0.0624
2.5852	0.0644
2.58649	0.0635
2.58778	0.0639
2.58907	0.0647
2.59036	0.0665
2.59166	0.0671
2.59295	0.0613
2.59425	0.0536
2.59555	0.0579
2.59685	0.0639
2.59815	0.0657
2.59945	0.0665
2.60076	0.0657
2.60206	0.0645
2.60337	0.0626
2.60467	0.0609
2.60598	0.0624
2.60729	0.0633
2.6086	0.0639
2.60992	0.065
2.61123	0.0669
2.61255	0.0654
2.61386	0.0655
2.61518	0.0643
2.6165	0.0602
2.61782	0.062
2.61914	0.0626
2.62047	0.0611
2.62179	0.0636
2.62312	0.0654
2.62445	0.0665
2.62577	0.0633
2.6271	0.063
2.62844	0.0629
2.62977	0.0606
2.6311	0.062
2.63244	0.063
2.63378	0.0641
2.63511	0.0668
2.63645	0.0665
2.63779	0.0671
2.63914	0.0668
2.64048	0.066
2.64183	0.0645
2.64317	0.064
2.64452	0.063
2.64587	0.0632
2.64722	0.065
2.64857	0.0662
2.64992	0.0651
2.65128	0.062
2.65264	0.0604
2.65399	0.0603
2.65535	0.0609
2.65671	0.0633
2.65807	0.0632
2.65944	0.0606
2.6608	0.0597
2.66217	0.0593
2.66353	0.0568
2.6649	0.0523
2.66627	0.0502
2.66764	0.0529
2.66902	0.0503
2.67039	0.0505
2.67177	0.0552
2.67314	0.057
2.67452	0.0549
2.6759	0.0506
2.67728	0.0499
2.67867	0.0525
2.68005	0.054
2.68144	0.0532
2.68282	0.0507
2.68421	0.0492
2.6856	0.0477
2.68699	0.0461
2.68839	0.0464
2.68978	0.0485
2.69118	0.0472
2.69257	0.0422
2.69397	0.0405
2.69537	0.0421
2.69677	0.0428
2.69818	0.0414
2.69958	0.0385
2.70099	0.036
2.7024	0.0365
2.7038	0.0375
2.70522	0.0377
2.70663	0.0381
2.70804	0.0347
2.70945	0.032
2.71087	0.0329
2.71229	0.0362
2.71371	0.0368
2.71513	0.0364
2.71655	0.0348
2.71797	0.033
2.7194	0.0315
2.72083	0.0311
2.72225	0.0305
2.72368	0.0299
2.72512	0.0312
2.72655	0.0343
2.72798	0.0339
2.72942	0.0313
