Name: Aplite
Type: Rocks
Class: Igneous
Subclass: Felsic
Particle Size: Solid
Sample No.: Aplite.H1
Owner: JHU
Wavelength range: All
Origin: From Boulder County, Colorado via Ward's Scientific (Cat. No. W-
101)
Description: A fine-grained to medium-grained leucocratic rock composed 
of quartz, feldspar, micas and opaques.




Measurement: Directional (10 degree) hemispherical reflectance
First Column: X
Second Column: Y
X Units: Wavelength (micrometers)
Y Units: Reflectance (percent)
First X Value: 14.0112
Last X Value: 0.4000
Number of X Values: 2844
Additional information:	aplite1a.doc
3.2999	14.3740
3.2978	14.3088
3.2957	14.1977
3.2936	14.1021
3.2915	14.0880
3.2894	14.0916
3.2874	14.0316
3.2853	13.9305
3.2832	13.8649
3.2811	13.8574
3.2790	13.8262
3.2770	13.7156
3.2749	13.6530
3.2728	13.6015
3.2708	13.5220
3.2687	13.4950
3.2666	13.4678
3.2646	13.3854
3.2625	13.2724
3.2605	13.1864
3.2584	13.1482
3.2564	13.1189
3.2543	13.0628
3.2523	13.0195
3.2503	12.9516
3.2482	12.8529
3.2462	12.7668
3.2442	12.6656
3.2421	12.6131
3.2401	12.5580
3.2381	12.5102
3.2361	12.4502
3.2340	12.4045
3.2320	12.3178
